Match ID,Date,Team,xP
14168865,21/02/2026,Merthyr,0.51798
14168658,08/11/2025,Merthyr,1.15162
14168700,29/11/2025,Merthyr,1.45599
14168578,04/10/2025,Merthyr,0.46035
14168507,23/08/2025,Merthyr,2.68534
14168823,31/01/2026,Merthyr,0.41131
14168713,06/12/2025,Merthyr,1.67196
14168843,10/02/2026,Merthyr,1.12798
14168533,30/08/2025,Merthyr,1.00966
14168886,24/02/2026,Merthyr,1.35811
14168548,02/09/2025,Merthyr,2.42661
14168489,09/08/2025,Merthyr,0.41273
14168501,19/08/2025,Merthyr,0.06105
14168525,25/08/2025,Merthyr,1.20807
14168560,06/09/2025,Merthyr,2.36001
14168574,20/09/2025,Merthyr,0.01835
14168620,21/10/2025,Merthyr,0.33982
14168640,01/11/2025,Merthyr,1.65302
14837162,11/11/2025,Merthyr,2.56326
14168681,22/11/2025,Merthyr,2.10399
14168693,25/11/2025,Merthyr,2.59581
14168729,20/12/2025,Merthyr,2.47841
14168754,30/12/2025,Merthyr,1.38117
14168765,03/01/2026,Merthyr,2.04832
14168789,17/01/2026,Merthyr,1.63798
14168811,27/01/2026,Merthyr,1.17241
14168836,07/02/2026,Merthyr,0.28231
14168861,14/02/2026,Merthyr,2.97713
14168897,28/02/2026,Merthyr,0.51499
14168934,14/03/2026,Merthyr,1.03473
14168490,16/08/2025,Merthyr,1.8996
14168906,07/03/2026,Merthyr,2.45231
14168804,24/01/2026,Merthyr,0.21845
14168947,21/03/2026,Merthyr,1.95348
14168614,18/10/2025,Merthyr,1.02996
14168781,10/01/2026,Merthyr,2.17715
