Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168470,16/08/2025,Darlington,Alfreton,Aidan Rutledge,right-foot,regular,miss,0.06247,
14168470,16/08/2025,Darlington,Alfreton,Cedric Main,right-foot,regular,save,0.06072,0.1999
14168470,16/08/2025,Darlington,Alfreton,Will Hatfield,right-foot,regular,goal,0.1908,0.7314
14168470,16/08/2025,Darlington,Alfreton,Cedric Main,right-foot,regular,save,0.1464,0.1078
14168470,16/08/2025,Alfreton,Darlington,Gerry McDonagh,head,throw-in-set-piece,save,0.1495,0.3475
14168470,16/08/2025,Alfreton,Darlington,Siyabonga Ligendza,right-foot,regular,miss,0.01303,
14168470,16/08/2025,Alfreton,Darlington,Siyabonga Ligendza,right-foot,regular,block,0.004957,
14168470,16/08/2025,Darlington,Alfreton,Ben Hedley,left-foot,regular,goal,0.09498,0.6599
14168470,16/08/2025,Darlington,Alfreton,Jack Maskell,right-foot,regular,save,0.2911,0.3477
14168470,16/08/2025,Darlington,Alfreton,Will Hatfield,left-foot,regular,goal,0.223,0.3261
14168470,16/08/2025,Darlington,Alfreton,Will McGowan,left-foot,regular,block,0.1232,
14168470,16/08/2025,Alfreton,Darlington,Siyabonga Ligendza,head,throw-in-set-piece,save,0.1665,0.6932
14168470,16/08/2025,Darlington,Alfreton,Will Hatfield,right-foot,regular,miss,0.01652,
14168470,16/08/2025,Darlington,Alfreton,Will Hatfield,right-foot,free-kick,save,0.03327,0.05175
14168470,16/08/2025,Alfreton,Darlington,Owen German,right-foot,throw-in-set-piece,miss,0.04936,
14168470,16/08/2025,Darlington,Alfreton,Elliot Forbes,right-foot,regular,miss,0.001566,
14168470,16/08/2025,Darlington,Alfreton,Scott Barrow,left-foot,regular,block,0.04739,
14168470,16/08/2025,Darlington,Alfreton,Scott Barrow,left-foot,regular,save,0.05071,0.0949
14168470,16/08/2025,Darlington,Alfreton,Will Hatfield,left-foot,regular,block,0.002525,
14168470,16/08/2025,Alfreton,Darlington,George Cantrill,left-foot,corner,block,0.02943,
14168470,16/08/2025,Darlington,Alfreton,Scott Barrow,left-foot,regular,miss,0.004321,
14168470,16/08/2025,Darlington,Alfreton,Cedric Main,right-foot,throw-in-set-piece,block,0.001749,
14168470,16/08/2025,Darlington,Alfreton,Will McGowan,right-foot,set-piece,block,0.01777,
14168470,16/08/2025,Darlington,Alfreton,Will McGowan,left-foot,regular,save,0.06055,0.05815
14168470,16/08/2025,Alfreton,Darlington,Owen German,head,set-piece,miss,0.1128,
14168475,19/08/2025,South Shields,Alfreton,Paul Blackett,right-foot,regular,goal,0.2134,0.4969
14168475,19/08/2025,South Shields,Alfreton,Cedwyn Scott,right-foot,regular,goal,0.1609,0.3674
14168475,19/08/2025,South Shields,Alfreton,Rhys Walsh,right-foot,regular,block,0.1645,
14168475,19/08/2025,South Shields,Alfreton,Robbie Tinkler,right-foot,regular,miss,0.04634,
14168475,19/08/2025,South Shields,Alfreton,Daniel Ward,head,regular,miss,0.2199,
14168475,19/08/2025,South Shields,Alfreton,Paul Blackett,right-foot,regular,save,0.05168,0.1192
14168475,19/08/2025,South Shields,Alfreton,Dillon Morse,head,set-piece,save,0.7563,0.8679
14168475,19/08/2025,South Shields,Alfreton,Cedwyn Scott,head,set-piece,save,0.1197,0.3019
14168475,19/08/2025,South Shields,Alfreton,Cedwyn Scott,right-foot,regular,block,0.01828,
14168475,19/08/2025,South Shields,Alfreton,Paul Blackett,right-foot,regular,miss,0.1142,
14168475,19/08/2025,South Shields,Alfreton,Caden Kelly,right-foot,regular,miss,0.03508,
14168475,19/08/2025,South Shields,Alfreton,Caden Kelly,right-foot,free-kick,block,0.0008737,
14168475,19/08/2025,South Shields,Alfreton,Cedwyn Scott,right-foot,regular,block,0.01326,
14168475,19/08/2025,South Shields,Alfreton,Will Jenkins,right-foot,corner,miss,0.06604,
14168475,19/08/2025,South Shields,Alfreton,Will Jenkins,left-foot,corner,block,0.02483,
14168475,19/08/2025,South Shields,Alfreton,Paul Blackett,right-foot,regular,save,0.06168,0.01924
14168475,19/08/2025,South Shields,Alfreton,Paul Blackett,right-foot,regular,block,0.01967,
14168475,19/08/2025,South Shields,Alfreton,Caden Kelly,head,regular,save,0.1162,0.1127
14168475,19/08/2025,Alfreton,South Shields,Adam Lund,head,corner,save,0.03425,0.02871
14168475,19/08/2025,South Shields,Alfreton,Paul Blackett,right-foot,regular,miss,0.4262,
14168475,19/08/2025,South Shields,Alfreton,Paul Blackett,right-foot,regular,block,0.2619,
14168475,19/08/2025,South Shields,Alfreton,Paul Blackett,head,regular,miss,0.2897,
14168475,19/08/2025,South Shields,Alfreton,Will Jenkins,left-foot,regular,save,0.2067,0.3164
14168517,25/08/2025,Alfreton,Marine,Owen German,left-foot,regular,save,0.2353,0.2771
14168517,25/08/2025,Alfreton,Marine,Adam Anson,left-foot,throw-in-set-piece,goal,0.1101,0.6319
14168517,25/08/2025,Marine,Alfreton,Bailey Sloane,left-foot,throw-in-set-piece,miss,0.005622,
14168517,25/08/2025,Marine,Alfreton,AJ Warburton,right-foot,regular,block,0.03141,
14168517,25/08/2025,Alfreton,Marine,Terell Pennant,left-foot,regular,save,0.03508,0.0307
14168517,25/08/2025,Marine,Alfreton,Finlay Sinclair-Smith,right-foot,throw-in-set-piece,miss,0.0109,
14168517,25/08/2025,Marine,Alfreton,Finlay Sinclair-Smith,right-foot,free-kick,block,0.1213,
14168517,25/08/2025,Marine,Alfreton,Bailey Sloane,left-foot,set-piece,save,0.04097,0.02519
14168517,25/08/2025,Marine,Alfreton,AJ Warburton,right-foot,regular,block,0.1576,
14168517,25/08/2025,Alfreton,Marine,Billy Fewster,left-foot,throw-in-set-piece,block,0.008296,
14168517,25/08/2025,Marine,Alfreton,Finlay Sinclair-Smith,right-foot,regular,block,0.00439,
14168517,25/08/2025,Marine,Alfreton,Ashley Hunter,right-foot,free-kick,save,0.05332,0.2274
14168517,25/08/2025,Marine,Alfreton,Ashley Hunter,right-foot,regular,block,0.00989,
14168517,25/08/2025,Alfreton,Marine,Nathan Newall,left-foot,regular,block,0.0517,
14168517,25/08/2025,Alfreton,Marine,Max Hunt,right-foot,corner,goal,0.1314,0.2223
14168517,25/08/2025,Marine,Alfreton,Matthew McDonald,right-foot,regular,save,0.3215,0.5709
14168517,25/08/2025,Marine,Alfreton,Leigh Whelan,right-foot,throw-in-set-piece,block,0.01542,
