Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168517,25/08/2025,Alfreton,Marine,Adam Anson,left-foot,throw-in-set-piece,goal,0.1101,0.6319
14168783,17/01/2026,Marine,Buxton,Adam Anson,left-foot,throw-in-set-piece,miss,0.1434,0.0
14168884,24/02/2026,Marine,Kidderminster,Adam Anson,head,corner,save,0.06782,0.04175
14168668,08/11/2025,Marine,Leamington,Adam Anson,head,corner,goal,0.02634,0.4731
14168509,23/08/2025,Alfreton,Macclesfield,Adam Anson,head,throw-in-set-piece,miss,0.03838,0.0
14168509,23/08/2025,Alfreton,Macclesfield,Adam Anson,head,regular,miss,0.3252,0.0
14168509,23/08/2025,Alfreton,Macclesfield,Adam Anson,head,set-piece,save,0.1456,0.2987
14168619,11/10/2025,Marine,Curzon Ashton,Adam Anson,left-foot,regular,block,0.00585,0.0
14837164,11/11/2025,Marine,Telford,Adam Anson,head,set-piece,miss,0.03063,0.0
14168797,24/01/2026,Marine,South Shields,Adam Anson,right-foot,regular,goal,0.5134,0.623
14168834,07/02/2026,Marine,Scarborough,Adam Anson,right-foot,set-piece,miss,0.2044,0.0
14168550,02/09/2025,Alfreton,Oxford,Adam Anson,head,set-piece,miss,0.1116,0.0
14168550,02/09/2025,Alfreton,Oxford,Adam Anson,head,throw-in-set-piece,miss,0.06273,0.0
