Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168484,19/08/2025,Curzon Ashton,Chester,Adam Barton,right-foot,regular,block,0.02758,0.0
14168491,09/08/2025,Curzon Ashton,Leamington,Adam Barton,left-foot,regular,save,0.2853,0.2114
14168491,09/08/2025,Curzon Ashton,Leamington,Adam Barton,head,regular,save,0.2232,0.2444
14168572,20/09/2025,Curzon Ashton,South Shields,Adam Barton,right-foot,regular,block,0.1392,0.0
14168572,20/09/2025,Curzon Ashton,South Shields,Adam Barton,left-foot,regular,block,0.1459,0.0
14168655,04/11/2025,Curzon Ashton,Spennymoor,Adam Barton,right-foot,corner,goal,0.2798,0.3479
14168736,26/12/2025,Curzon Ashton,Radcliffe,Adam Barton,head,corner,miss,0.1489,0.0
14168824,31/01/2026,Curzon Ashton,Hereford,Adam Barton,head,set-piece,miss,0.2887,0.0
14168881,24/02/2026,Curzon Ashton,Darlington,Adam Barton,left-foot,regular,goal,0.181,0.7512
14168881,24/02/2026,Curzon Ashton,Darlington,Adam Barton,head,regular,save,0.229,0.5569
14168919,10/03/2026,Curzon Ashton,Oxford,Adam Barton,head,corner,save,0.3255,0.6161
14168641,01/11/2025,Curzon Ashton,Hereford,Adam Barton,right-foot,corner,miss,0.1121,0.0
14168756,30/12/2025,Curzon Ashton,Southport,Adam Barton,head,corner,save,0.05746,0.03304
14168756,30/12/2025,Curzon Ashton,Southport,Adam Barton,right-foot,set-piece,block,0.6611,0.0
14168478,16/08/2025,Curzon Ashton,Telford,Adam Barton,left-foot,regular,miss,0.2335,0.0
14168478,16/08/2025,Curzon Ashton,Telford,Adam Barton,right-foot,regular,save,0.1208,0.5049
