Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168866,21/02/2026,Chorley,Bedford,Adam Blakeman,left-foot,free-kick,save,0.1089,0.3345
14168866,21/02/2026,Chorley,Bedford,Adam Blakeman,left-foot,free-kick,save,0.1303,0.1088
14168866,21/02/2026,Chorley,Bedford,Adam Blakeman,left-foot,free-kick,save,0.1322,0.2368
14169188,18/10/2025,Chorley,Buxton,Adam Blakeman,left-foot,regular,miss,0.05361,0.0
14168493,16/08/2025,Chorley,Chester,Adam Blakeman,left-foot,regular,miss,0.00694,0.0
14168493,16/08/2025,Chorley,Chester,Adam Blakeman,left-foot,set-piece,block,0.01418,0.0
14168498,19/08/2025,Chorley,Scarborough,Adam Blakeman,left-foot,free-kick,miss,0.0007317,0.0
14168498,19/08/2025,Chorley,Scarborough,Adam Blakeman,left-foot,regular,save,0.03434,0.1439
14168498,19/08/2025,Chorley,Scarborough,Adam Blakeman,left-foot,free-kick,goal,0.2324,0.2852
14168498,19/08/2025,Chorley,Scarborough,Adam Blakeman,left-foot,regular,block,0.003786,0.0
14168522,25/08/2025,Chorley,King's Lynn,Adam Blakeman,left-foot,regular,miss,0.0286,0.0
14168522,25/08/2025,Chorley,King's Lynn,Adam Blakeman,left-foot,free-kick,block,0.071,0.0
14168570,20/09/2025,Chorley,Macclesfield,Adam Blakeman,left-foot,regular,post,0.05134,0.0
14168570,20/09/2025,Chorley,Macclesfield,Adam Blakeman,right-foot,set-piece,block,0.04934,0.0
14168792,24/01/2026,Chorley,Darlington,Adam Blakeman,left-foot,throw-in-set-piece,miss,0.001999,0.0
14168792,24/01/2026,Chorley,Darlington,Adam Blakeman,left-foot,free-kick,save,0.09605,0.1071
15326174,03/02/2026,Chorley,Leamington,Adam Blakeman,right-foot,regular,save,0.2845,0.1767
14168841,10/02/2026,Chorley,Southport,Adam Blakeman,left-foot,free-kick,miss,0.0008534,0.0
14168855,14/02/2026,Chorley,Radcliffe,Adam Blakeman,left-foot,free-kick,miss,0.0008384,0.0
14168855,14/02/2026,Chorley,Radcliffe,Adam Blakeman,left-foot,regular,block,0.004603,0.0
14168855,14/02/2026,Chorley,Radcliffe,Adam Blakeman,left-foot,regular,block,0.003523,0.0
14168855,14/02/2026,Chorley,Radcliffe,Adam Blakeman,left-foot,regular,block,0.006428,0.0
14168543,02/09/2025,Chorley,Curzon Ashton,Adam Blakeman,left-foot,regular,miss,0.04256,0.0
14168506,23/08/2025,Chorley,Hereford,Adam Blakeman,right-foot,regular,save,0.0351,0.04482
14168506,23/08/2025,Chorley,Hereford,Adam Blakeman,left-foot,regular,miss,0.002739,0.0
14168506,23/08/2025,Chorley,Hereford,Adam Blakeman,right-foot,regular,goal,0.2711,0.0
14168540,30/08/2025,Chorley,Leamington,Adam Blakeman,left-foot,regular,block,0.001214,0.0
14168540,30/08/2025,Chorley,Leamington,Adam Blakeman,left-foot,free-kick,miss,0.0008199,0.0
14168836,07/02/2026,Chorley,Merthyr,Adam Blakeman,left-foot,free-kick,block,0.04948,0.0
14168959,28/03/2026,Chorley,Scarborough,Adam Blakeman,left-foot,regular,miss,0.0325,0.0
14168621,21/10/2025,Chorley,Southport,Adam Blakeman,left-foot,throw-in-set-piece,miss,0.001878,0.0
14168621,21/10/2025,Chorley,Southport,Adam Blakeman,left-foot,set-piece,block,0.002728,0.0
14168890,24/02/2026,Chorley,Spennymoor,Adam Blakeman,left-foot,free-kick,save,0.05018,0.0874
14168890,24/02/2026,Chorley,Spennymoor,Adam Blakeman,left-foot,free-kick,block,0.1141,0.0
14168890,24/02/2026,Chorley,Spennymoor,Adam Blakeman,left-foot,regular,block,0.01565,0.0
14168966,03/04/2026,Chorley,Fylde,Adam Blakeman,left-foot,regular,miss,0.09409,0.0
14168966,03/04/2026,Chorley,Fylde,Adam Blakeman,left-foot,regular,block,0.08143,0.0
14168966,03/04/2026,Chorley,Fylde,Adam Blakeman,left-foot,free-kick,save,0.05154,0.09196
14168966,03/04/2026,Chorley,Fylde,Adam Blakeman,left-foot,throw-in-set-piece,block,0.002727,0.0
14168991,11/04/2026,Chorley,Curzon Asjton,Adam Blakeman,left-foot,free-kick,block,0.00171,0.0
14168991,11/04/2026,Chorley,Curzon Asjton,Adam Blakeman,left-foot,regular,miss,0.01476,0.0
14168991,11/04/2026,Chorley,Curzon Asjton,Adam Blakeman,left-foot,free-kick,save,0.06814,0.09788
14168991,11/04/2026,Chorley,Curzon Asjton,Adam Blakeman,left-foot,free-kick,block,0.08652,0.0
14169003,18/04/2026,Chorley,King's Lynn,Adam Blakeman,left-foot,set-piece,miss,0.04435,0.0
