Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168724,20/12/2025,Telford,Buxton,Adan George,right-foot,regular,goal,0.2123,0.5729
14168724,20/12/2025,Telford,Buxton,Adan George,head,regular,save,0.2235,0.3117
14168724,20/12/2025,Telford,Buxton,Adan George,right-foot,regular,goal,0.4294,0.5641
14168558,06/09/2025,Telford,Chorley,Adan George,left-foot,regular,miss,0.236,0.0
14168558,06/09/2025,Telford,Chorley,Adan George,right-foot,regular,goal,0.738,0.9251
14168558,06/09/2025,Telford,Chorley,Adan George,right-foot,regular,save,0.6036,0.7836
14168520,25/08/2025,Telford,Darlington,Adan George,right-foot,regular,block,0.1587,0.0
14168914,10/03/2026,Telford,Fylde,Adan George,left-foot,regular,save,0.08016,0.04335
14168914,10/03/2026,Telford,Fylde,Adan George,right-foot,regular,miss,0.09353,0.0
14168914,10/03/2026,Telford,Fylde,Adan George,right-foot,regular,block,0.04008,0.0
14168914,10/03/2026,Telford,Fylde,Adan George,right-foot,corner,miss,0.14,0.0
14837164,11/11/2025,Telford,Marine,Adan George,right-foot,regular,save,0.08135,0.4208
14837164,11/11/2025,Telford,Marine,Adan George,right-foot,regular,save,0.1241,0.3758
14168935,14/03/2026,Telford,Scarborough,Adan George,right-foot,regular,goal,0.5427,0.7385
14168876,21/02/2026,Telford,South Shields,Adan George,right-foot,set-piece,miss,0.07867,0.0
14168478,16/08/2025,Telford,Curzon Ashton,Adan George,left-foot,regular,save,0.08769,0.3698
14168511,23/08/2025,Telford,Buxton,Adan George,right-foot,throw-in-set-piece,block,0.002045,0.0
14168511,23/08/2025,Telford,Buxton,Adan George,left-foot,throw-in-set-piece,block,0.008062,0.0
14168530,30/08/2025,Telford,Spennymoor,Adan George,right-foot,regular,goal,0.06028,0.0632
14168530,30/08/2025,Telford,Spennymoor,Adan George,right-foot,regular,save,0.1629,0.4711
14168530,30/08/2025,Telford,Spennymoor,Adan George,right-foot,regular,save,0.2638,0.6042
14168546,02/09/2025,Telford,Peterborough,Adan George,left-foot,regular,goal,0.4,0.8003
14168546,02/09/2025,Telford,Peterborough,Adan George,right-foot,regular,save,0.0618,0.07027
14168546,02/09/2025,Telford,Peterborough,Adan George,right-foot,regular,save,0.04224,0.03534
14168546,02/09/2025,Telford,Peterborough,Adan George,right-foot,throw-in-set-piece,miss,0.02247,0.0
14168546,02/09/2025,Telford,Peterborough,Adan George,right-foot,regular,save,0.01049,0.03326
14168712,06/12/2025,Telford,Southport,Adan George,left-foot,regular,miss,0.05411,0.0
14168712,06/12/2025,Telford,Southport,Adan George,head,regular,miss,0.0527,0.0
14168712,06/12/2025,Telford,Southport,Adan George,left-foot,throw-in-set-piece,miss,0.06418,0.0
14168891,28/02/2026,Telford,Radcliffe,Adan George,left-foot,regular,post,0.1291,0.001459
14168901,07/03/2026,Telford,Alfreton,Adan George,right-foot,regular,miss,0.006798,0.0
15395692,17/03/2026,Telford,Macclesfield,Adan George,right-foot,regular,goal,0.2309,0.74
14168936,21/03/2026,Telford,Marine,Adan George,left-foot,regular,save,0.1425,0.6398
14168936,21/03/2026,Telford,Marine,Adan George,right-foot,regular,save,0.0702,0.06082
14168936,21/03/2026,Telford,Marine,Adan George,right-foot,regular,block,0.0609,0.0
14168936,21/03/2026,Telford,Marine,Adan George,left-foot,regular,block,0.004776,0.0
14168950,28/03/2026,Telford,Bedford,Adan George,right-foot,regular,miss,0.003224,0.0
14168950,28/03/2026,Telford,Bedford,Adan George,right-foot,regular,miss,0.2737,0.0
14168989,11/04/2026,Telford,Peterborough,Adan George,right-foot,free-kick,block,0.2692,0.0
14168989,11/04/2026,Telford,Peterborough,Adan George,right-foot,set-piece,block,0.2375,0.0
14168989,11/04/2026,Telford,Peterborough,Adan George,right-foot,regular,miss,0.2158,0.0
14168986,06/04/2026,Telford,Kidderminster,Adan George,right-foot,regular,miss,0.01589,0.0
14169006,18/04/2026,Telford,Darlington,Adan George,right-foot,regular,save,0.04383,0.1645
14169006,18/04/2026,Telford,Darlington,Adan George,right-foot,throw-in-set-piece,miss,0.1521,0.0
