Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168654,04/11/2025,Southport,Buxton,Adrien Thibaut,right-foot,regular,miss,0.21,0.0
14168654,04/11/2025,Southport,Buxton,Adrien Thibaut,right-foot,regular,goal,0.06504,0.3086
14168654,04/11/2025,Southport,Buxton,Adrien Thibaut,head,throw-in-set-piece,save,0.1062,0.1432
14168663,08/11/2025,Southport,Hereford,Adrien Thibaut,right-foot,regular,save,0.6607,0.7684
14168606,18/10/2025,Southport,Oxford,Adrien Thibaut,right-foot,regular,miss,0.03863,0.0
14168606,18/10/2025,Southport,Oxford,Adrien Thibaut,right-foot,regular,save,0.09675,0.06067
14168606,18/10/2025,Southport,Oxford,Adrien Thibaut,left-foot,regular,goal,0.1314,0.2151
14168606,18/10/2025,Southport,Oxford,Adrien Thibaut,right-foot,regular,miss,0.06814,0.0
14168606,18/10/2025,Southport,Oxford,Adrien Thibaut,right-foot,set-piece,miss,0.1587,0.0
14843593,28/10/2025,Southport,Peterborough,Adrien Thibaut,right-foot,regular,save,0.1054,0.2336
14877776,11/11/2025,Southport,Chester,Adrien Thibaut,left-foot,regular,goal,0.2502,0.6846
14877776,11/11/2025,Southport,Chester,Adrien Thibaut,left-foot,regular,miss,0.4181,0.0
14168698,25/11/2025,Southport,Radcliffe,Adrien Thibaut,right-foot,regular,goal,0.4981,0.6632
14168698,25/11/2025,Southport,Radcliffe,Adrien Thibaut,head,regular,miss,0.08329,0.0
