Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168470,16/08/2025,Darlington,Alfreton,Aidan Rutledge,right-foot,regular,miss,0.06247,0.0
14168699,29/11/2025,Darlington,Bedford,Aidan Rutledge,right-foot,regular,miss,0.2071,0.0
14168699,29/11/2025,Darlington,Bedford,Aidan Rutledge,head,corner,miss,0.1116,0.0
14168699,29/11/2025,Darlington,Bedford,Aidan Rutledge,right-foot,regular,save,0.3976,0.2184
14168699,29/11/2025,Darlington,Bedford,Aidan Rutledge,right-foot,regular,block,0.04128,0.0
14168903,07/03/2026,Darlington,Chester,Aidan Rutledge,right-foot,regular,save,0.1061,0.1441
14168903,07/03/2026,Darlington,Chester,Aidan Rutledge,right-foot,regular,miss,0.03722,0.0
14168792,24/01/2026,Darlington,Chorley,Aidan Rutledge,right-foot,throw-in-set-piece,miss,0.1205,0.0
14168881,24/02/2026,Darlington,Curzon Ashton,Aidan Rutledge,right-foot,regular,block,0.1457,0.0
14168494,09/08/2025,Darlington,Chorley,Aidan Rutledge,right-foot,regular,block,0.02385,0.0
14168499,19/08/2025,Darlington,Fylde,Aidan Rutledge,right-foot,regular,block,0.3752,0.0
14168520,25/08/2025,Darlington,Telford,Aidan Rutledge,head,regular,save,0.144,0.119
14168564,06/09/2025,Darlington,Hereford,Aidan Rutledge,right-foot,regular,miss,0.08216,0.0
14168656,04/11/2025,Darlington,Worksop,Aidan Rutledge,right-foot,regular,save,0.2621,0.7078
14168656,04/11/2025,Darlington,Worksop,Aidan Rutledge,head,regular,miss,0.04613,0.0
14168656,04/11/2025,Darlington,Worksop,Aidan Rutledge,left-foot,regular,save,0.07608,0.04669
14168656,04/11/2025,Darlington,Worksop,Aidan Rutledge,right-foot,regular,goal,0.2149,0.205
14168656,04/11/2025,Darlington,Worksop,Aidan Rutledge,head,regular,miss,0.04258,0.0
14168656,04/11/2025,Darlington,Worksop,Aidan Rutledge,head,regular,post,0.1335,3.66e-05
14878242,18/11/2025,Darlington,Peterborough,Aidan Rutledge,left-foot,regular,block,0.06031,0.0
14878242,18/11/2025,Darlington,Peterborough,Aidan Rutledge,right-foot,regular,miss,0.1154,0.0
14878242,18/11/2025,Darlington,Peterborough,Aidan Rutledge,right-foot,penalty,goal,0.76,0.81
14878242,18/11/2025,Darlington,Peterborough,Aidan Rutledge,head,regular,save,0.1427,0.6103
14878242,18/11/2025,Darlington,Peterborough,Aidan Rutledge,right-foot,regular,goal,0.1619,0.4501
14878242,18/11/2025,Darlington,Peterborough,Aidan Rutledge,left-foot,throw-in-set-piece,block,0.02868,0.0
14168679,22/11/2025,Darlington,Spennymoor,Aidan Rutledge,left-foot,regular,block,0.112,0.0
14168689,25/11/2025,Darlington,Curzon Ashton,Aidan Rutledge,right-foot,regular,miss,0.04866,0.0
14168689,25/11/2025,Darlington,Curzon Ashton,Aidan Rutledge,right-foot,regular,save,0.05435,0.0146
14168689,25/11/2025,Darlington,Curzon Ashton,Aidan Rutledge,right-foot,regular,miss,0.2323,0.0
14168689,25/11/2025,Darlington,Curzon Ashton,Aidan Rutledge,head,regular,save,0.1496,0.11
14168727,20/12/2025,Darlington,King's Lynn,Aidan Rutledge,head,regular,miss,0.09149,0.0
14168727,20/12/2025,Darlington,King's Lynn,Aidan Rutledge,right-foot,regular,block,0.05204,0.0
14168727,20/12/2025,Darlington,King's Lynn,Aidan Rutledge,right-foot,regular,miss,0.031,0.0
14168727,20/12/2025,Darlington,King's Lynn,Aidan Rutledge,head,regular,goal,0.07978,0.2932
14168727,20/12/2025,Darlington,King's Lynn,Aidan Rutledge,head,set-piece,save,0.1085,0.641
14168787,17/01/2026,Darlington,Alfreton,Aidan Rutledge,left-foot,regular,block,0.04977,0.0
14168787,17/01/2026,Darlington,Alfreton,Aidan Rutledge,right-foot,throw-in-set-piece,miss,0.003143,0.0
14168823,31/01/2026,Darlington,Merthyr,Aidan Rutledge,left-foot,regular,goal,0.2323,0.7206
14168895,28/02/2026,Darlington,Bedford,Aidan Rutledge,right-foot,free-kick,block,0.001459,0.0
14168895,28/02/2026,Darlington,Bedford,Aidan Rutledge,left-foot,regular,post,0.1006,0.0
14168895,28/02/2026,Darlington,Bedford,Aidan Rutledge,head,regular,save,0.5009,0.7211
15341358,03/03/2026,Darlington,Macclesfield,Aidan Rutledge,right-foot,throw-in-set-piece,miss,0.03376,0.0
14168918,10/03/2026,Darlington,Buxton,Aidan Rutledge,left-foot,regular,block,0.1523,0.0
14168918,10/03/2026,Darlington,Buxton,Aidan Rutledge,head,set-piece,save,0.1581,0.1453
15559405,24/03/2026,Darlington,Kidderminster,Aidan Rutledge,head,corner,miss,0.101,0.0
15559405,24/03/2026,Darlington,Kidderminster,Aidan Rutledge,right-foot,regular,block,0.0177,0.0
14168951,28/03/2026,Darlington,Fylde,Aidan Rutledge,right-foot,regular,save,0.125,0.2688
14168951,28/03/2026,Darlington,Fylde,Aidan Rutledge,right-foot,regular,miss,0.3292,0.0
14168951,28/03/2026,Darlington,Fylde,Aidan Rutledge,left-foot,regular,block,0.002907,0.0
14168951,28/03/2026,Darlington,Fylde,Aidan Rutledge,right-foot,regular,save,0.1109,0.2691
15261863,17/02/2026,Darlington,Hereford,Aidan Rutledge,right-foot,throw-in-set-piece,miss,0.003089,0.0
14168667,08/11/2025,Darlington,Kidderminster,Aidan Rutledge,head,regular,goal,0.1961,0.2829
14168667,08/11/2025,Darlington,Kidderminster,Aidan Rutledge,right-foot,regular,save,0.1517,0.1357
14168667,08/11/2025,Darlington,Kidderminster,Aidan Rutledge,head,regular,save,0.08134,0.1892
14168667,08/11/2025,Darlington,Kidderminster,Aidan Rutledge,right-foot,regular,miss,0.2757,0.0
14168640,01/11/2025,Darlington,Merthyr,Aidan Rutledge,right-foot,regular,miss,0.03088,0.0
14168725,06/12/2025,Darlington,Oxford,Aidan Rutledge,right-foot,free-kick,miss,0.0006556,0.0
14168725,06/12/2025,Darlington,Oxford,Aidan Rutledge,head,set-piece,goal,0.09441,0.03792
14168725,06/12/2025,Darlington,Oxford,Aidan Rutledge,head,corner,block,0.07546,0.0
14168618,21/10/2025,Darlington,Radcliffe,Aidan Rutledge,head,regular,block,0.0365,0.0
14168742,26/12/2025,Darlington,Scarborough,Aidan Rutledge,left-foot,regular,block,0.1918,0.0
14168742,26/12/2025,Darlington,Scarborough,Aidan Rutledge,head,regular,miss,0.1574,0.0
14168817,27/01/2026,Darlington,Worksop,Aidan Rutledge,left-foot,regular,block,0.02347,0.0
14168817,27/01/2026,Darlington,Worksop,Aidan Rutledge,right-foot,throw-in-set-piece,miss,0.0297,0.0
14168817,27/01/2026,Darlington,Worksop,Aidan Rutledge,head,regular,miss,0.1033,0.0
14168817,27/01/2026,Darlington,Worksop,Aidan Rutledge,right-foot,set-piece,block,0.1157,0.0
