Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168880,24/02/2026,Scarborough,Alfreton,Alex Brown,left-foot,regular,block,0.005194,0.0
14168498,19/08/2025,Scarborough,Chorley,Alex Brown,left-foot,throw-in-set-piece,save,0.05464,0.027
14168834,07/02/2026,Scarborough,Marine,Alex Brown,right-foot,regular,block,0.01159,0.0
14168552,02/09/2025,Scarborough,Buxton,Alex Brown,left-foot,regular,block,0.04775,0.0
14168695,25/11/2025,Scarborough,Alfreton,Alex Brown,left-foot,throw-in-set-piece,miss,0.07601,0.0
14168695,25/11/2025,Scarborough,Alfreton,Alex Brown,left-foot,regular,miss,0.04564,0.0
14168718,06/12/2025,Scarborough,Bedford,Alex Brown,right-foot,corner,save,0.02657,0.008026
14168829,31/01/2026,Scarborough,Worksop,Alex Brown,right-foot,throw-in-set-piece,block,0.0009709,0.0
14168854,10/02/2026,Scarborough,South Shields,Alex Brown,left-foot,regular,block,0.02841,0.0
14168899,28/02/2026,Scarborough,Macclesfield,Alex Brown,right-foot,regular,miss,0.1091,0.0
14168899,28/02/2026,Scarborough,Macclesfield,Alex Brown,left-foot,regular,block,0.01128,0.0
15326173,03/03/2026,Scarborough,Hereford,Alex Brown,left-foot,regular,block,0.003932,0.0
14168623,21/10/2025,Scarborough,South Shields,Alex Brown,left-foot,corner,miss,0.00429,0.0
