Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168567,20/09/2025,Telford,Alfreton,Alex Fletcher,head,set-piece,miss,0.08137,0.0
14168567,20/09/2025,Telford,Alfreton,Alex Fletcher,right-foot,corner,block,0.05429,0.0
14168558,06/09/2025,Telford,Chorley,Alex Fletcher,right-foot,regular,miss,0.009071,0.0
14168520,25/08/2025,Telford,Darlington,Alex Fletcher,right-foot,regular,miss,0.03484,0.0
14168613,21/10/2025,Telford,Hereford,Alex Fletcher,right-foot,set-piece,miss,0.02767,0.0
14168876,21/02/2026,Telford,South Shields,Alex Fletcher,right-foot,regular,miss,0.0259,0.0
14168576,04/10/2025,Telford,Fylde,Alex Fletcher,right-foot,corner,miss,0.2764,0.0
14168688,25/11/2025,Telford,Oxford,Alex Fletcher,right-foot,set-piece,goal,0.4192,0.3302
14168795,24/01/2026,Telford,King's Lynn,Alex Fletcher,left-foot,set-piece,miss,0.003314,0.0
14168891,28/02/2026,Telford,Radcliffe,Alex Fletcher,right-foot,regular,miss,0.1041,0.0
14168901,07/03/2026,Telford,Alfreton,Alex Fletcher,right-foot,regular,goal,0.07873,0.3359
14168950,28/03/2026,Telford,Bedford,Alex Fletcher,right-foot,regular,goal,0.03594,0.2393
14168842,07/02/2026,Telford,Worksop,Alex Fletcher,right-foot,corner,block,0.06356,0.0
14168842,07/02/2026,Telford,Worksop,Alex Fletcher,left-foot,regular,miss,0.09406,0.0
14169011,25/04/2026,Telford,Southport,Alex Fletcher,right-foot,regular,miss,0.08157,0.0
14169006,18/04/2026,Telford,Darlington,Alex Fletcher,left-foot,regular,block,0.005229,0.0
