Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168578,04/10/2025,Merthyr,Chester,Alex Ryan John,right-foot,free-kick,save,0.1379,0.1183
14168533,30/08/2025,Merthyr,King's Lynn,Alex Ryan John,right-foot,regular,block,0.1628,0.0
14168886,24/02/2026,Merthyr,Leamington,Alex Ryan John,right-foot,regular,block,0.1152,0.0
14168560,06/09/2025,Merthyr,Worksop,Alex Ryan John,right-foot,regular,miss,0.105,0.0
14168560,06/09/2025,Merthyr,Worksop,Alex Ryan John,right-foot,regular,miss,0.04502,0.0
14168620,21/10/2025,Merthyr,Kidderminster,Alex Ryan John,right-foot,regular,block,0.03662,0.0
14168620,21/10/2025,Merthyr,Kidderminster,Alex Ryan John,right-foot,regular,miss,0.022,0.0
14168681,22/11/2025,Merthyr,Alfreton,Alex Ryan John,right-foot,regular,block,0.02092,0.0
14168681,22/11/2025,Merthyr,Alfreton,Alex Ryan John,right-foot,regular,block,0.006476,0.0
14168693,25/11/2025,Merthyr,Leamington,Alex Ryan John,right-foot,regular,miss,0.04803,0.0
14168861,14/02/2026,Merthyr,Bedford,Alex Ryan John,right-foot,regular,block,0.06125,0.0
14168934,14/03/2026,Merthyr,Spennymoor,Alex Ryan John,left-foot,regular,block,0.204,0.0
14168934,14/03/2026,Merthyr,Spennymoor,Alex Ryan John,head,regular,miss,0.3448,0.0
14168934,14/03/2026,Merthyr,Spennymoor,Alex Ryan John,right-foot,regular,miss,0.01105,0.0
14168906,07/03/2026,Merthyr,Radcliffe,Alex Ryan John,right-foot,regular,goal,0.7726,0.9026
14168906,07/03/2026,Merthyr,Radcliffe,Alex Ryan John,right-foot,regular,save,0.3588,0.3846
14168947,21/03/2026,Merthyr,South Shields,Alex Ryan John,left-foot,regular,block,0.4976,0.0
14168781,10/01/2026,Merthyr,Worksop,Alex Ryan John,right-foot,regular,miss,0.272,0.0
