Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168555,06/09/2025,Curzon Ashton,Bedford,Alex Samuel  Curran,left-foot,regular,goal,0.4894,0.6101
14168521,25/08/2025,Curzon Ashton,Buxton,Alex Samuel  Curran,head,regular,save,0.09261,0.2887
14168484,19/08/2025,Curzon Ashton,Chester,Alex Samuel  Curran,right-foot,regular,miss,0.0232,0.0
14168491,09/08/2025,Curzon Ashton,Leamington,Alex Samuel  Curran,right-foot,corner,block,0.1121,0.0
14168491,09/08/2025,Curzon Ashton,Leamington,Alex Samuel  Curran,right-foot,free-kick,save,0.05059,0.2069
14168491,09/08/2025,Curzon Ashton,Leamington,Alex Samuel  Curran,right-foot,corner,miss,0.0102,0.0
14168537,30/08/2025,Curzon Ashton,Kidderminster,Alex Samuel  Curran,right-foot,throw-in-set-piece,block,0.002068,0.0
14168537,30/08/2025,Curzon Ashton,Kidderminster,Alex Samuel  Curran,right-foot,regular,block,0.07505,0.0
14168631,25/10/2025,Curzon Ashton,Peterborough,Alex Samuel  Curran,right-foot,corner,save,0.1603,0.4063
14168631,25/10/2025,Curzon Ashton,Peterborough,Alex Samuel  Curran,left-foot,corner,goal,0.4688,0.5837
14168631,25/10/2025,Curzon Ashton,Peterborough,Alex Samuel  Curran,right-foot,corner,block,0.4373,0.0
14813803,28/10/2025,Curzon Ashton,King's Lynn,Alex Samuel  Curran,right-foot,regular,goal,0.0994,0.5835
14813803,28/10/2025,Curzon Ashton,King's Lynn,Alex Samuel  Curran,left-foot,regular,block,0.1196,0.0
14813803,28/10/2025,Curzon Ashton,King's Lynn,Alex Samuel  Curran,right-foot,regular,miss,0.1004,0.0
14168655,04/11/2025,Curzon Ashton,Spennymoor,Alex Samuel  Curran,right-foot,regular,miss,0.004891,0.0
14168655,04/11/2025,Curzon Ashton,Spennymoor,Alex Samuel  Curran,left-foot,corner,save,0.151,0.5235
14168709,06/12/2025,Curzon Ashton,Alfreton,Alex Samuel  Curran,right-foot,regular,miss,0.03847,0.0
14168786,17/01/2026,Curzon Ashton,Telford,Alex Samuel  Curran,right-foot,regular,block,0.1348,0.0
14168786,17/01/2026,Curzon Ashton,Telford,Alex Samuel  Curran,right-foot,regular,save,0.2299,0.09935
14168786,17/01/2026,Curzon Ashton,Telford,Alex Samuel  Curran,left-foot,regular,miss,0.06367,0.0
14168786,17/01/2026,Curzon Ashton,Telford,Alex Samuel  Curran,right-foot,regular,save,0.08568,0.07188
14168824,31/01/2026,Curzon Ashton,Hereford,Alex Samuel  Curran,right-foot,regular,block,0.06977,0.0
15399954,03/02/2026,Curzon Ashton,Bedford,Alex Samuel  Curran,right-foot,regular,goal,0.2687,0.3339
15399954,03/02/2026,Curzon Ashton,Bedford,Alex Samuel  Curran,right-foot,regular,goal,0.297,0.4726
15399954,03/02/2026,Curzon Ashton,Bedford,Alex Samuel  Curran,right-foot,regular,block,0.03814,0.0
15399954,03/02/2026,Curzon Ashton,Bedford,Alex Samuel  Curran,right-foot,regular,miss,0.5748,0.0
14168847,10/02/2026,Curzon Ashton,Marine,Alex Samuel  Curran,left-foot,regular,save,0.1277,0.09206
14168847,10/02/2026,Curzon Ashton,Marine,Alex Samuel  Curran,head,corner,goal,0.3579,0.7569
14168847,10/02/2026,Curzon Ashton,Marine,Alex Samuel  Curran,head,regular,save,0.03748,0.03712
14168881,24/02/2026,Curzon Ashton,Darlington,Alex Samuel  Curran,head,corner,block,0.2111,0.0
14168881,24/02/2026,Curzon Ashton,Darlington,Alex Samuel  Curran,head,regular,miss,0.1454,0.0
14168919,10/03/2026,Curzon Ashton,Oxford,Alex Samuel  Curran,left-foot,regular,save,0.1176,0.07291
14168919,10/03/2026,Curzon Ashton,Oxford,Alex Samuel  Curran,right-foot,free-kick,block,0.0003087,0.0
14168919,10/03/2026,Curzon Ashton,Oxford,Alex Samuel  Curran,right-foot,regular,goal,0.1444,0.6146
14168929,14/03/2026,Curzon Ashton,Macclesfield,Alex Samuel  Curran,right-foot,free-kick,save,0.1093,0.07433
14168952,28/03/2026,Curzon Ashton,Chester,Alex Samuel  Curran,right-foot,regular,block,0.004705,0.0
14168689,25/11/2025,Curzon Ashton,Darlington,Alex Samuel  Curran,right-foot,regular,save,0.1162,0.07467
14168689,25/11/2025,Curzon Ashton,Darlington,Alex Samuel  Curran,left-foot,throw-in-set-piece,post,0.02318,5.08e-05
14168889,28/02/2026,Curzon Ashton,Fylde,Alex Samuel  Curran,right-foot,regular,miss,0.03776,0.0
14168641,01/11/2025,Curzon Ashton,Hereford,Alex Samuel  Curran,head,corner,miss,0.04049,0.0
14168641,01/11/2025,Curzon Ashton,Hereford,Alex Samuel  Curran,left-foot,regular,block,0.06902,0.0
14168641,01/11/2025,Curzon Ashton,Hereford,Alex Samuel  Curran,right-foot,regular,miss,0.09768,0.0
14168641,01/11/2025,Curzon Ashton,Hereford,Alex Samuel  Curran,head,corner,goal,0.4179,0.9409
14168764,03/01/2026,Curzon Ashton,Kidderminster,Alex Samuel  Curran,right-foot,set-piece,miss,0.008757,0.0
14168802,24/01/2026,Curzon Ashton,Leamington,Alex Samuel  Curran,right-foot,free-kick,save,0.04927,0.02505
14168802,24/01/2026,Curzon Ashton,Leamington,Alex Samuel  Curran,right-foot,regular,save,0.08572,0.1308
14168802,24/01/2026,Curzon Ashton,Leamington,Alex Samuel  Curran,right-foot,regular,save,0.1663,0.1803
14168802,24/01/2026,Curzon Ashton,Leamington,Alex Samuel  Curran,right-foot,regular,save,0.04065,0.01699
14168802,24/01/2026,Curzon Ashton,Leamington,Alex Samuel  Curran,right-foot,throw-in-set-piece,miss,0.123,0.0
14168615,18/10/2025,Curzon Ashton,Macclesfield,Alex Samuel  Curran,right-foot,regular,miss,0.005641,0.0
14168615,18/10/2025,Curzon Ashton,Macclesfield,Alex Samuel  Curran,left-foot,regular,goal,0.2215,0.1758
14168615,18/10/2025,Curzon Ashton,Macclesfield,Alex Samuel  Curran,right-foot,regular,save,0.2511,0.48
14168619,11/10/2025,Curzon Ashton,Marine,Alex Samuel  Curran,right-foot,regular,goal,0.2742,0.2553
14168619,11/10/2025,Curzon Ashton,Marine,Alex Samuel  Curran,right-foot,regular,miss,0.0437,0.0
14168729,20/12/2025,Curzon Ashton,Merthyr,Alex Samuel  Curran,right-foot,free-kick,miss,0.0008731,0.0
14168729,20/12/2025,Curzon Ashton,Merthyr,Alex Samuel  Curran,right-foot,regular,save,0.0389,0.01595
14168584,04/10/2025,Curzon Ashton,Oxford,Alex Samuel  Curran,right-foot,free-kick,miss,0.001298,0.0
14168584,04/10/2025,Curzon Ashton,Oxford,Alex Samuel  Curran,right-foot,regular,block,0.007118,0.0
14168584,04/10/2025,Curzon Ashton,Oxford,Alex Samuel  Curran,right-foot,regular,block,0.2543,0.0
14168756,30/12/2025,Curzon Ashton,Southport,Alex Samuel  Curran,right-foot,regular,miss,0.08906,0.0
14168756,30/12/2025,Curzon Ashton,Southport,Alex Samuel  Curran,right-foot,regular,post,0.2467,0.0
14168756,30/12/2025,Curzon Ashton,Southport,Alex Samuel  Curran,right-foot,regular,goal,0.0623,0.4658
15447033,17/03/2026,Curzon Ashton,Spennymoor,Alex Samuel  Curran,left-foot,regular,goal,0.1796,0.6066
14168478,16/08/2025,Curzon Ashton,Telford,Alex Samuel  Curran,right-foot,regular,block,0.003825,0.0
14168478,16/08/2025,Curzon Ashton,Telford,Alex Samuel  Curran,right-foot,regular,miss,0.2789,0.0
14168685,22/11/2025,Curzon Ashton,Worksop,Alex Samuel  Curran,right-foot,free-kick,block,0.001255,0.0
