Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168722,20/12/2025,Chorley,Hereford,Anjola Popoola,head,throw-in-set-piece,save,0.1363,0.6966
14168722,20/12/2025,Chorley,Hereford,Anjola Popoola,left-foot,regular,block,0.1277,0.0
14168722,20/12/2025,Chorley,Hereford,Anjola Popoola,left-foot,regular,miss,0.107,0.0
14168722,20/12/2025,Chorley,Hereford,Anjola Popoola,head,regular,goal,0.329,0.5713
15326174,03/02/2026,Chorley,Leamington,Anjola Popoola,head,regular,miss,0.223,0.0
15326174,03/02/2026,Chorley,Leamington,Anjola Popoola,left-foot,regular,block,0.07967,0.0
15326174,03/02/2026,Chorley,Leamington,Anjola Popoola,right-foot,regular,miss,0.08649,0.0
15326174,03/02/2026,Chorley,Leamington,Anjola Popoola,right-foot,regular,miss,0.1165,0.0
15326174,03/02/2026,Chorley,Leamington,Anjola Popoola,left-foot,throw-in-set-piece,goal,0.3006,0.7922
14168841,10/02/2026,Chorley,Southport,Anjola Popoola,right-foot,throw-in-set-piece,block,0.2342,0.0
14168841,10/02/2026,Chorley,Southport,Anjola Popoola,left-foot,regular,block,0.009255,0.0
14168841,10/02/2026,Chorley,Southport,Anjola Popoola,head,throw-in-set-piece,goal,0.1799,0.4469
14168734,26/12/2025,Chorley,Fylde,Anjola Popoola,head,set-piece,miss,0.06378,0.0
14168734,26/12/2025,Chorley,Fylde,Anjola Popoola,left-foot,regular,save,0.1417,0.1156
14168668,08/11/2025,Marine,Leamington,Anjola Popoola,left-foot,throw-in-set-piece,miss,0.04794,0.0
14168668,08/11/2025,Marine,Leamington,Anjola Popoola,right-foot,set-piece,save,0.1398,0.5248
14168943,21/03/2026,Macclesfield,Hereford,Anjola Popoola,right-foot,throw-in-set-piece,block,0.00698,0.0
14168642,01/11/2025,Marine,Fylde,Anjola Popoola,left-foot,throw-in-set-piece,block,0.003359,0.0
14168836,07/02/2026,Chorley,Merthyr,Anjola Popoola,left-foot,regular,block,0.2398,0.0
14168836,07/02/2026,Chorley,Merthyr,Anjola Popoola,left-foot,regular,block,0.04671,0.0
14168836,07/02/2026,Chorley,Merthyr,Anjola Popoola,left-foot,regular,block,0.05419,0.0
14168836,07/02/2026,Chorley,Merthyr,Anjola Popoola,right-foot,regular,goal,0.6413,0.9561
14168637,25/10/2025,Marine,Scarborough,Anjola Popoola,left-foot,regular,miss,0.09256,0.0
15452627,17/02/2026,Chorley,Telford,Anjola Popoola,left-foot,regular,block,0.06656,0.0
14168720,06/11/2025,Chorley,Worksop,Anjola Popoola,left-foot,regular,block,0.1256,0.0
14168720,06/11/2025,Chorley,Worksop,Anjola Popoola,head,regular,miss,0.1229,0.0
14168720,06/11/2025,Chorley,Worksop,Anjola Popoola,left-foot,regular,miss,0.07812,0.0
