Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168512,23/08/2025,Radcliffe,Leamington,Anthony Dudley,right-foot,throw-in-set-piece,miss,0.09479,0.0
14168477,16/08/2025,Radcliffe,Spennymoor,Anthony Dudley,right-foot,regular,block,0.06197,0.0
14168477,16/08/2025,Radcliffe,Spennymoor,Anthony Dudley,right-foot,regular,block,0.1915,0.0
14168504,19/08/2025,Radcliffe,Worksop,Anthony Dudley,left-foot,throw-in-set-piece,block,0.008899,0.0
14168504,19/08/2025,Radcliffe,Worksop,Anthony Dudley,right-foot,corner,miss,0.007844,0.0
14168523,25/08/2025,Radcliffe,Hereford,Anthony Dudley,left-foot,throw-in-set-piece,block,0.02659,0.0
14168618,21/10/2025,Radcliffe,Darlington,Anthony Dudley,right-foot,regular,block,0.09792,0.0
14168711,29/11/2025,Radcliffe,Telford,Anthony Dudley,left-foot,regular,save,0.06224,0.4183
14168711,29/11/2025,Radcliffe,Telford,Anthony Dudley,right-foot,regular,block,0.0651,0.0
14168711,29/11/2025,Radcliffe,Telford,Anthony Dudley,right-foot,corner,miss,0.2853,0.0
14168711,29/11/2025,Radcliffe,Telford,Anthony Dudley,right-foot,regular,save,0.1424,0.07969
14972548,02/12/2025,Radcliffe,Chester,Anthony Dudley,right-foot,regular,block,0.2307,0.0
14972548,02/12/2025,Radcliffe,Chester,Anthony Dudley,left-foot,regular,save,0.06018,0.04348
14168814,27/01/2026,Radcliffe,Scarborough,Anthony Dudley,left-foot,regular,miss,0.03723,0.0
14168814,27/01/2026,Radcliffe,Scarborough,Anthony Dudley,right-foot,corner,save,0.0628,0.07091
14168874,21/02/2026,Radcliffe,Peterborough,Anthony Dudley,right-foot,regular,save,0.04728,0.06744
14168888,24/02/2026,Radcliffe,Southport,Anthony Dudley,right-foot,throw-in-set-piece,goal,0.2458,0.7051
14168888,24/02/2026,Radcliffe,Southport,Anthony Dudley,left-foot,regular,miss,0.04951,0.0
14168698,25/11/2025,Radcliffe,Southport,Anthony Dudley,left-foot,throw-in-set-piece,save,0.08091,0.5152
14168698,25/11/2025,Radcliffe,Southport,Anthony Dudley,left-foot,regular,save,0.06345,0.05583
