Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168517,25/08/2025,Marine,Alfreton,Ashley Hunter,right-foot,free-kick,save,0.05332,0.2274
14168517,25/08/2025,Marine,Alfreton,Ashley Hunter,right-foot,regular,block,0.00989,0.0
14168652,04/11/2025,Marine,Chester,Ashley Hunter,right-foot,regular,save,0.05648,0.4237
14168583,04/10/2025,Marine,Macclesfield,Ashley Hunter,right-foot,regular,miss,0.04593,0.0
14168583,04/10/2025,Marine,Macclesfield,Ashley Hunter,right-foot,regular,block,0.01707,0.0
14168583,04/10/2025,Marine,Macclesfield,Ashley Hunter,right-foot,regular,block,0.01251,0.0
14168472,16/08/2025,Marine,Buxton,Ashley Hunter,left-foot,regular,block,0.03427,0.0
14168472,16/08/2025,Marine,Buxton,Ashley Hunter,right-foot,regular,block,0.09583,0.0
14168472,16/08/2025,Marine,Buxton,Ashley Hunter,right-foot,corner,miss,0.01232,0.0
14168472,16/08/2025,Marine,Buxton,Ashley Hunter,left-foot,throw-in-set-piece,miss,0.004662,0.0
14168510,23/08/2025,Marine,Bedford,Ashley Hunter,right-foot,regular,miss,0.03427,0.0
14168510,23/08/2025,Marine,Bedford,Ashley Hunter,right-foot,throw-in-set-piece,goal,0.2086,0.6006
14168541,30/08/2025,Marine,Peterborough,Ashley Hunter,right-foot,regular,block,0.05383,0.0
14168541,30/08/2025,Marine,Peterborough,Ashley Hunter,right-foot,regular,post,0.02318,0.0
14168541,30/08/2025,Marine,Peterborough,Ashley Hunter,right-foot,regular,block,0.009018,0.0
14168619,11/10/2025,Marine,Curzon Ashton,Ashley Hunter,right-foot,regular,save,0.06718,0.1441
14168619,11/10/2025,Marine,Curzon Ashton,Ashley Hunter,right-foot,regular,miss,0.01673,0.0
14168642,01/11/2025,Marine,Fylde,Ashley Hunter,right-foot,regular,save,0.2302,0.3036
14168501,19/08/2025,Marine,Merthyr,Ashley Hunter,left-foot,regular,block,0.03282,0.0
14168562,06/09/2025,Marine,Radcliffe,Ashley Hunter,right-foot,regular,save,0.05781,0.08869
14168562,06/09/2025,Marine,Radcliffe,Ashley Hunter,right-foot,regular,miss,0.08692,0.0
14168562,06/09/2025,Marine,Radcliffe,Ashley Hunter,right-foot,regular,miss,0.02635,0.0
14168562,06/09/2025,Marine,Radcliffe,Ashley Hunter,right-foot,regular,save,0.0738,0.2423
14168637,25/10/2025,Marine,Scarborough,Ashley Hunter,left-foot,regular,miss,0.01457,0.0
14168637,25/10/2025,Marine,Scarborough,Ashley Hunter,left-foot,regular,block,0.1127,0.0
14168480,09/08/2025,Marine,South Shields,Ashley Hunter,right-foot,free-kick,save,0.07854,0.09478
14168480,09/08/2025,Marine,South Shields,Ashley Hunter,right-foot,free-kick,save,0.04579,0.0432
14168480,09/08/2025,Marine,South Shields,Ashley Hunter,right-foot,regular,block,0.07201,0.0
14168480,09/08/2025,Marine,South Shields,Ashley Hunter,right-foot,free-kick,save,0.1832,0.3223
14168480,09/08/2025,Marine,South Shields,Ashley Hunter,right-foot,regular,save,0.018,0.01543
14168480,09/08/2025,Marine,South Shields,Ashley Hunter,right-foot,regular,miss,0.05512,0.0
14168612,18/10/2025,Marine,Worksop,Ashley Hunter,right-foot,free-kick,miss,0.002632,0.0
14168612,18/10/2025,Marine,Worksop,Ashley Hunter,left-foot,throw-in-set-piece,block,0.004096,0.0
