Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168820,31/10/2025,Buxton,Spennymoor,Ashton Mee,right-foot,regular,save,0.07186,0.05013
14168845,10/02/2026,Buxton,Peterborough,Ashton Mee,right-foot,regular,save,0.2459,0.2829
14168845,10/02/2026,Buxton,Peterborough,Ashton Mee,right-foot,regular,block,0.03374,0.0
14168868,21/02/2026,Buxton,Fylde,Ashton Mee,right-foot,regular,miss,0.03475,0.0
14168878,24/02/2026,Buxton,King's Lynn,Ashton Mee,left-foot,regular,goal,0.3889,0.6581
14168878,24/02/2026,Buxton,King's Lynn,Ashton Mee,head,set-piece,miss,0.05367,0.0
14168939,21/03/2026,Buxton,Bedford,Ashton Mee,right-foot,regular,save,0.01392,0.01101
14168939,21/03/2026,Buxton,Bedford,Ashton Mee,right-foot,regular,goal,0.0285,0.04564
14168939,21/03/2026,Buxton,Bedford,Ashton Mee,right-foot,regular,block,0.003978,0.0
14168953,28/03/2026,Buxton,Hereford,Ashton Mee,right-foot,regular,block,0.0314,0.0
14168897,28/02/2026,Buxton,Merthyr,Ashton Mee,right-foot,regular,miss,0.04107,0.0
