Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168723,20/12/2025,Marine,Bedford,Bailey Marsden,right-foot,corner,miss,0.0293,0.0
14168652,04/11/2025,Marine,Chester,Bailey Marsden,right-foot,regular,miss,0.007988,0.0
14168749,30/12/2025,Marine,Chorley,Bailey Marsden,left-foot,corner,block,0.008354,0.0
14168668,08/11/2025,Marine,Leamington,Bailey Marsden,right-foot,regular,save,0.1339,0.2138
14168668,08/11/2025,Marine,Leamington,Bailey Marsden,left-foot,regular,miss,0.1395,0.0
14168668,08/11/2025,Marine,Leamington,Bailey Marsden,right-foot,regular,miss,0.218,0.0
14168472,16/08/2025,Marine,Buxton,Bailey Marsden,head,throw-in-set-piece,miss,0.01916,0.0
14168541,30/08/2025,Marine,Peterborough,Bailey Marsden,left-foot,regular,miss,0.05671,0.0
14168619,11/10/2025,Marine,Curzon Ashton,Bailey Marsden,right-foot,regular,miss,0.003391,0.0
14168619,11/10/2025,Marine,Curzon Ashton,Bailey Marsden,left-foot,throw-in-set-piece,block,0.1332,0.0
14168619,11/10/2025,Marine,Curzon Ashton,Bailey Marsden,left-foot,corner,block,0.01564,0.0
14168619,11/10/2025,Marine,Curzon Ashton,Bailey Marsden,right-foot,regular,block,0.04564,0.0
14168692,25/11/2025,Marine,Kidderminster,Bailey Marsden,right-foot,regular,block,0.008995,0.0
14168741,26/12/2025,Marine,Southport,Bailey Marsden,left-foot,corner,block,0.01916,0.0
14168501,19/08/2025,Marine,Merthyr,Bailey Marsden,head,set-piece,save,0.1226,0.2581
