Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168865,21/02/2026,Alfreton,Merthyr,Bayley McCann,left-foot,corner,save,0.1207,0.7291
14168880,24/02/2026,Alfreton,Scarborough,Bayley McCann,right-foot,regular,block,0.08645,0.0
14168880,24/02/2026,Alfreton,Scarborough,Bayley McCann,right-foot,regular,miss,0.1005,0.0
14168880,24/02/2026,Alfreton,Scarborough,Bayley McCann,left-foot,regular,miss,0.08889,0.0
14168880,24/02/2026,Alfreton,Scarborough,Bayley McCann,left-foot,free-kick,block,0.001321,0.0
14168880,24/02/2026,Alfreton,Scarborough,Bayley McCann,right-foot,regular,save,0.1049,0.04823
14168880,24/02/2026,Alfreton,Scarborough,Bayley McCann,left-foot,regular,save,0.08183,0.03822
14168915,10/03/2026,Alfreton,Radcliffe,Bayley McCann,left-foot,regular,miss,0.5604,0.0
14168927,14/03/2026,Alfreton,Peterborough,Bayley McCann,left-foot,regular,save,0.05823,0.05418
15659749,19/03/2026,Alfreton,Hereford,Bayley McCann,left-foot,throw-in-set-piece,post,0.06356,0.0
15659749,19/03/2026,Alfreton,Hereford,Bayley McCann,right-foot,regular,miss,0.003596,0.0
14168541,30/08/2025,Peterborough,Marine,Bayley McCann,left-foot,free-kick,miss,0.0003614,0.0
14168541,30/08/2025,Peterborough,Marine,Bayley McCann,left-foot,free-kick,save,0.08717,0.02114
14168541,30/08/2025,Peterborough,Marine,Bayley McCann,left-foot,free-kick,goal,0.05411,0.04894
14168541,30/08/2025,Peterborough,Marine,Bayley McCann,left-foot,free-kick,save,0.07466,0.1038
14168502,19/08/2025,Peterborough,Leamington,Bayley McCann,left-foot,regular,block,0.02438,0.0
14168616,21/10/2025,Peterborough,Buxton,Bayley McCann,left-foot,free-kick,miss,0.0008225,0.0
15495083,17/03/2026,Alfreton,Southport,Bayley McCann,right-foot,throw-in-set-piece,miss,0.05083,0.0
15495083,17/03/2026,Alfreton,Southport,Bayley McCann,left-foot,regular,block,0.00982,0.0
14168949,21/03/2026,Alfreton,Spennymoor,Bayley McCann,left-foot,free-kick,miss,0.0009482,0.0
