Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168470,16/08/2025,Darlington,Alfreton,Ben Hedley,left-foot,regular,goal,0.09498,0.6599
14168699,29/11/2025,Darlington,Bedford,Ben Hedley,right-foot,throw-in-set-piece,block,0.01066,0.0
14168494,09/08/2025,Darlington,Chorley,Ben Hedley,left-foot,regular,block,0.008703,0.0
14168499,19/08/2025,Darlington,Fylde,Ben Hedley,right-foot,regular,block,0.0009467,0.0
14168499,19/08/2025,Darlington,Fylde,Ben Hedley,right-foot,corner,miss,0.002681,0.0
14168689,25/11/2025,Darlington,Curzon Ashton,Ben Hedley,right-foot,regular,miss,0.01725,0.0
14168727,20/12/2025,Darlington,King's Lynn,Ben Hedley,right-foot,regular,block,0.01925,0.0
14168727,20/12/2025,Darlington,King's Lynn,Ben Hedley,right-foot,throw-in-set-piece,miss,0.001693,0.0
14168918,10/03/2026,Darlington,Buxton,Ben Hedley,right-foot,regular,miss,0.04672,0.0
14168667,08/11/2025,Darlington,Kidderminster,Ben Hedley,right-foot,regular,save,0.2987,0.1757
14168667,08/11/2025,Darlington,Kidderminster,Ben Hedley,right-foot,throw-in-set-piece,miss,0.001062,0.0
14168513,23/08/2025,Darlington,King's Lynn,Ben Hedley,right-foot,set-piece,miss,0.002962,0.0
14168725,06/12/2025,Darlington,Oxford,Ben Hedley,right-foot,corner,block,0.01676,0.0
14168618,21/10/2025,Darlington,Radcliffe,Ben Hedley,right-foot,regular,block,0.00657,0.0
14168618,21/10/2025,Darlington,Radcliffe,Ben Hedley,left-foot,corner,miss,0.01648,0.0
14168618,21/10/2025,Darlington,Radcliffe,Ben Hedley,right-foot,regular,miss,0.004233,0.0
