Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168517,25/08/2025,Alfreton,Marine,Billy Fewster,left-foot,throw-in-set-piece,block,0.008296,0.0
14168517,25/08/2025,Alfreton,Marine,Billy Fewster,right-foot,regular,save,0.1936,0.2074
14168554,06/09/2025,Alfreton,King's Lynn,Billy Fewster,left-foot,regular,goal,0.6219,0.8181
14168617,21/10/2025,Alfreton,Chester,Billy Fewster,right-foot,throw-in-set-piece,block,0.005567,0.0
14168638,01/11/2025,Alfreton,Kidderminster,Billy Fewster,left-foot,regular,save,0.0494,0.02716
14168664,08/11/2025,Alfreton,Fylde,Billy Fewster,head,regular,miss,0.1139,0.0
14877540,11/11/2025,Alfreton,Spennymoor,Billy Fewster,head,throw-in-set-piece,goal,0.1322,0.6498
14877540,11/11/2025,Alfreton,Spennymoor,Billy Fewster,right-foot,regular,block,0.005408,0.0
14877540,11/11/2025,Alfreton,Spennymoor,Billy Fewster,left-foot,regular,miss,0.09325,0.0
14168865,21/02/2026,Alfreton,Merthyr,Billy Fewster,head,regular,post,0.06653,0.0
14168915,10/03/2026,Alfreton,Radcliffe,Billy Fewster,right-foot,regular,miss,0.02291,0.0
14168927,14/03/2026,Alfreton,Peterborough,Billy Fewster,right-foot,regular,block,0.01178,0.0
15659749,19/03/2026,Alfreton,Hereford,Billy Fewster,right-foot,set-piece,miss,0.2134,0.0
15659749,19/03/2026,Alfreton,Hereford,Billy Fewster,right-foot,free-kick,save,0.04326,0.02122
15416663,24/03/2026,Alfreton,Macclesfield,Billy Fewster,right-foot,throw-in-set-piece,block,0.003814,0.0
14168488,09/08/2025,Alfreton,Bedford,Billy Fewster,head,throw-in-set-piece,goal,0.3889,0.8658
14168488,09/08/2025,Alfreton,Bedford,Billy Fewster,right-foot,regular,miss,0.2638,0.0
14168628,25/10/2025,Alfreton,Buxton,Billy Fewster,right-foot,regular,miss,0.03874,0.0
14168653,04/11/2025,Alfreton,Chorley,Billy Fewster,right-foot,regular,goal,0.07679,0.3973
14168509,23/08/2025,Alfreton,Macclesfield,Billy Fewster,left-foot,corner,block,0.08405,0.0
14168550,02/09/2025,Alfreton,Oxford,Billy Fewster,right-foot,regular,save,0.05277,0.02882
14168550,02/09/2025,Alfreton,Oxford,Billy Fewster,right-foot,regular,miss,0.06532,0.0
14168550,02/09/2025,Alfreton,Oxford,Billy Fewster,right-foot,regular,block,0.005347,0.0
14168609,18/10/2025,Alfreton,Peterborough,Billy Fewster,right-foot,throw-in-set-piece,block,0.01223,0.0
14168609,18/10/2025,Alfreton,Peterborough,Billy Fewster,left-foot,throw-in-set-piece,miss,0.08803,0.0
15495083,17/03/2026,Alfreton,Southport,Billy Fewster,right-foot,corner,miss,0.07485,0.0
14168949,21/03/2026,Alfreton,Spennymoor,Billy Fewster,right-foot,throw-in-set-piece,miss,0.003009,0.0
