Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168928,14/03/2026,Radcliffe,Bedford,Brad Roscoe,right-foot,corner,miss,0.1589,0.0
14168597,11/10/2025,Radcliffe,Kidderminster,Brad Roscoe,head,corner,save,0.06373,0.8423
14168597,11/10/2025,Radcliffe,Kidderminster,Brad Roscoe,right-foot,corner,miss,0.008646,0.0
14168512,23/08/2025,Radcliffe,Leamington,Brad Roscoe,head,regular,block,0.08828,0.0
14168512,23/08/2025,Radcliffe,Leamington,Brad Roscoe,head,set-piece,goal,0.3316,0.4329
14168512,23/08/2025,Radcliffe,Leamington,Brad Roscoe,head,corner,block,0.09843,0.0
14168523,25/08/2025,Radcliffe,Hereford,Brad Roscoe,head,corner,block,0.1058,0.0
14168586,04/10/2025,Radcliffe,Alfreton,Brad Roscoe,head,corner,goal,0.3363,0.7922
14168608,18/10/2025,Radcliffe,Bedford,Brad Roscoe,head,corner,miss,0.1062,0.0
14168711,29/11/2025,Radcliffe,Telford,Brad Roscoe,left-foot,set-piece,miss,0.02549,0.0
14168711,29/11/2025,Radcliffe,Telford,Brad Roscoe,head,corner,save,0.2172,0.3161
14972548,02/12/2025,Radcliffe,Chester,Brad Roscoe,right-foot,corner,block,0.06772,0.0
14168731,20/12/2025,Radcliffe,Leamington,Brad Roscoe,head,corner,goal,0.1833,0.5774
14168762,30/12/2025,Radcliffe,Fylde,Brad Roscoe,head,throw-in-set-piece,goal,0.03778,0.2255
14168762,30/12/2025,Radcliffe,Fylde,Brad Roscoe,head,corner,miss,0.1552,0.0
14168798,24/01/2026,Radcliffe,Buxton,Brad Roscoe,left-foot,corner,miss,0.5832,0.0
14168798,24/01/2026,Radcliffe,Buxton,Brad Roscoe,left-foot,corner,post,0.2698,0.0
14168814,27/01/2026,Radcliffe,Scarborough,Brad Roscoe,head,set-piece,miss,0.2301,0.0
15326170,03/02/2026,Radcliffe,Oxford,Brad Roscoe,head,corner,miss,0.1169,0.0
14168906,07/03/2026,Radcliffe,Merthyr,Brad Roscoe,head,corner,block,0.1987,0.0
14969967,16/12/2025,Radcliffe,Scarborough,Brad Roscoe,head,corner,miss,0.1507,0.0
14168551,02/09/2025,Radcliffe,South Shields,Brad Roscoe,head,corner,save,0.1377,0.1311
14168790,17/01/2026,Radcliffe,Spennymoor,Brad Roscoe,right-foot,regular,block,0.01288,0.0
14168790,17/01/2026,Radcliffe,Spennymoor,Brad Roscoe,head,corner,miss,0.1067,0.0
14169007,18/04/2026,Radcliffe,Hereford,Brad Roscoe,head,corner,save,0.1015,0.1185
14168968,03/04/2026,Radcliffe,Curzon Ashton,Brad Roscoe,head,set-piece,save,0.1615,0.08956
14168968,03/04/2026,Radcliffe,Curzon Ashton,Brad Roscoe,head,corner,post,0.1749,0.0
14168968,03/04/2026,Radcliffe,Curzon Ashton,Brad Roscoe,right-foot,regular,miss,0.003899,0.0
14168988,11/04/2026,Radcliffe,South Shields,Brad Roscoe,head,regular,miss,0.2582,0.0
