Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168915,10/03/2026,Radcliffe,Alfreton,Bradley Jackson,head,regular,miss,0.6696,0.0
14168915,10/03/2026,Radcliffe,Alfreton,Bradley Jackson,right-foot,regular,goal,0.08386,0.4588
14168476,09/08/2025,Radcliffe,Buxton,Bradley Jackson,right-foot,throw-in-set-piece,miss,0.07408,0.0
14168476,09/08/2025,Radcliffe,Buxton,Bradley Jackson,right-foot,regular,miss,0.1501,0.0
14168574,20/09/2025,Radcliffe,Merthyr,Bradley Jackson,right-foot,regular,save,0.04956,0.2208
14168535,30/08/2025,Radcliffe,Oxford,Bradley Jackson,right-foot,corner,miss,0.006446,0.0
14168535,30/08/2025,Radcliffe,Oxford,Bradley Jackson,right-foot,regular,goal,0.1561,0.3035
14168535,30/08/2025,Radcliffe,Oxford,Bradley Jackson,right-foot,regular,save,0.3144,0.2814
14168535,30/08/2025,Radcliffe,Oxford,Bradley Jackson,right-foot,regular,block,0.01445,0.0
14168477,16/08/2025,Radcliffe,Spennymoor,Bradley Jackson,right-foot,regular,block,0.2218,0.0
14168477,16/08/2025,Radcliffe,Spennymoor,Bradley Jackson,right-foot,regular,block,0.116,0.0
14168523,25/08/2025,Radcliffe,Hereford,Bradley Jackson,right-foot,regular,miss,0.02038,0.0
14168523,25/08/2025,Radcliffe,Hereford,Bradley Jackson,right-foot,regular,block,0.02316,0.0
14168586,04/10/2025,Radcliffe,Alfreton,Bradley Jackson,right-foot,regular,block,0.06298,0.0
14168835,07/02/2026,Radcliffe,King's Lynn,Bradley Jackson,right-foot,corner,block,0.01543,0.0
14168888,24/02/2026,Radcliffe,Southport,Bradley Jackson,right-foot,regular,miss,0.01587,0.0
14168551,02/09/2025,Radcliffe,South Shields,Bradley Jackson,right-foot,throw-in-set-piece,save,0.0517,0.6938
