Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168501,19/08/2025,Merthyr,Marine,Brandon Smalley,right-foot,regular,miss,0.01648,0.0
14168501,19/08/2025,Merthyr,Marine,Brandon Smalley,right-foot,regular,miss,0.1182,0.0
14168501,19/08/2025,Merthyr,Marine,Brandon Smalley,left-foot,throw-in-set-piece,goal,0.05913,0.3826
14168501,19/08/2025,Merthyr,Marine,Brandon Smalley,right-foot,regular,block,0.04051,0.0
14168525,25/08/2025,Merthyr,Scarborough,Brandon Smalley,right-foot,regular,block,0.03829,0.0
14168620,21/10/2025,Merthyr,Kidderminster,Brandon Smalley,left-foot,regular,save,0.04063,0.06599
14168693,25/11/2025,Merthyr,Leamington,Brandon Smalley,right-foot,corner,miss,0.4915,0.0
14168693,25/11/2025,Merthyr,Leamington,Brandon Smalley,right-foot,regular,miss,0.06833,0.0
14168490,16/08/2025,Merthyr,Peterborough,Brandon Smalley,right-foot,throw-in-set-piece,goal,0.04536,0.3327
14168614,18/10/2025,Merthyr,Spennymoor,Brandon Smalley,right-foot,regular,block,0.008267,0.0
