Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168475,19/08/2025,South Shields,Alfreton,Caden Kelly,right-foot,regular,miss,0.03508,0.0
14168475,19/08/2025,South Shields,Alfreton,Caden Kelly,right-foot,free-kick,block,0.0008737,0.0
14168475,19/08/2025,South Shields,Alfreton,Caden Kelly,head,regular,save,0.1162,0.1127
14168572,20/09/2025,South Shields,Curzon Ashton,Caden Kelly,right-foot,regular,goal,0.03761,0.3607
14168649,05/11/2025,South Shields,Fylde,Caden Kelly,right-foot,free-kick,block,0.001244,0.0
14168649,05/11/2025,South Shields,Fylde,Caden Kelly,right-foot,regular,goal,0.2264,0.7077
14168497,16/08/2025,South Shields,Leamington,Caden Kelly,left-foot,regular,save,0.1246,0.4093
14168635,25/10/2025,South Shields,Macclesfield,Caden Kelly,right-foot,throw-in-set-piece,save,0.02611,0.1622
14837162,11/11/2025,South Shields,Merthyr,Caden Kelly,left-foot,regular,block,0.01227,0.0
14168563,06/09/2025,South Shields,Southport,Caden Kelly,right-foot,regular,miss,0.01318,0.0
14168563,06/09/2025,South Shields,Southport,Caden Kelly,right-foot,regular,save,0.0386,0.1436
14168480,09/08/2025,South Shields,Marine,Caden Kelly,right-foot,free-kick,miss,0.002421,0.0
14168514,23/08/2025,South Shields,Chester,Caden Kelly,right-foot,free-kick,miss,0.001104,0.0
14168536,30/08/2025,South Shields,Buxton,Caden Kelly,right-foot,regular,goal,0.1337,0.5811
14168551,02/09/2025,South Shields,Radcliffe,Caden Kelly,right-foot,regular,block,0.01064,0.0
14168610,18/10/2025,South Shields,Hereford,Caden Kelly,right-foot,regular,block,0.01464,0.0
14168610,18/10/2025,South Shields,Hereford,Caden Kelly,right-foot,regular,block,0.04403,0.0
14168610,18/10/2025,South Shields,Hereford,Caden Kelly,right-foot,regular,miss,0.01462,0.0
14168623,21/10/2025,South Shields,Scarborough,Caden Kelly,right-foot,regular,miss,0.005801,0.0
14168623,21/10/2025,South Shields,Scarborough,Caden Kelly,right-foot,throw-in-set-piece,miss,0.006869,0.0
14168988,11/04/2026,South Shields,Radcliffe,Caden Kelly,right-foot,regular,save,0.09987,0.2313
14168988,11/04/2026,South Shields,Radcliffe,Caden Kelly,right-foot,regular,miss,0.02976,0.0
14168973,06/04/2026,South Shields,Darlington,Caden Kelly,head,regular,miss,0.178,0.0
14169000,18/04/2026,South Shields,Bedford,Caden Kelly,right-foot,corner,block,0.002069,0.0
14169000,18/04/2026,South Shields,Bedford,Caden Kelly,right-foot,regular,block,0.009781,0.0
14169000,18/04/2026,South Shields,Bedford,Caden Kelly,right-foot,regular,block,0.05279,0.0
