Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168820,31/10/2025,Spennymoor,Buxton,Cameron Salkeld,left-foot,corner,goal,0.1883,0.69
14168820,31/10/2025,Spennymoor,Buxton,Cameron Salkeld,right-foot,regular,miss,0.1469,0.0
14168690,25/11/2025,Spennymoor,Chorley,Cameron Salkeld,right-foot,regular,save,0.3259,0.2993
14168679,22/11/2025,Spennymoor,Darlington,Cameron Salkeld,right-foot,regular,block,0.01987,0.0
14168679,22/11/2025,Spennymoor,Darlington,Cameron Salkeld,head,corner,block,0.02045,0.0
14168679,22/11/2025,Spennymoor,Darlington,Cameron Salkeld,left-foot,regular,save,0.03068,0.1549
15399474,17/02/2026,Spennymoor,Leamington,Cameron Salkeld,left-foot,regular,block,0.001637,0.0
14168934,14/03/2026,Spennymoor,Merthyr,Cameron Salkeld,left-foot,regular,save,0.165,0.1526
14168934,14/03/2026,Spennymoor,Merthyr,Cameron Salkeld,right-foot,regular,save,0.2391,0.4669
14168925,10/03/2026,Spennymoor,Southport,Cameron Salkeld,left-foot,regular,miss,0.05922,0.0
14168672,08/11/2025,Spennymoor,Peterborough,Cameron Salkeld,right-foot,regular,save,0.1995,0.1264
14168790,17/01/2026,Spennymoor,Radcliffe,Cameron Salkeld,left-foot,set-piece,block,0.004477,0.0
15212553,20/01/2026,Spennymoor,Chester,Cameron Salkeld,left-foot,regular,goal,0.04066,0.02457
15212553,20/01/2026,Spennymoor,Chester,Cameron Salkeld,right-foot,regular,miss,0.4323,0.0
15341361,03/02/2026,Spennymoor,Telford,Cameron Salkeld,right-foot,regular,save,0.06521,0.05049
15341361,03/02/2026,Spennymoor,Telford,Cameron Salkeld,right-foot,regular,miss,0.06131,0.0
15341361,03/02/2026,Spennymoor,Telford,Cameron Salkeld,right-foot,regular,miss,0.05513,0.0
14168912,07/03/2026,Spennymoor,Bedford,Cameron Salkeld,right-foot,regular,save,0.252,0.554
15447033,17/03/2026,Spennymoor,Curzon Ashton,Cameron Salkeld,right-foot,throw-in-set-piece,miss,0.03119,0.0
14168949,21/03/2026,Spennymoor,Alfreton,Cameron Salkeld,left-foot,regular,miss,0.1876,0.0
15519410,31/03/2026,Spennymoor,Kidderminster,Cameron Salkeld,left-foot,corner,miss,0.3145,0.0
15519410,31/03/2026,Spennymoor,Kidderminster,Cameron Salkeld,left-foot,regular,block,0.05193,0.0
15519410,31/03/2026,Spennymoor,Kidderminster,Cameron Salkeld,left-foot,throw-in-set-piece,save,0.03786,0.4684
15519410,31/03/2026,Spennymoor,Kidderminster,Cameron Salkeld,right-foot,corner,block,0.01082,0.0
14168956,28/03/2026,Spennymoor,King's Lynn,Cameron Salkeld,left-foot,throw-in-set-piece,save,0.01346,0.055
