Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168755,03/01/2026,Fylde,Bedford,Chris Merrie,right-foot,regular,save,0.05319,0.6516
14168482,09/08/2025,Fylde,Oxford,Chris Merrie,right-foot,corner,block,0.0118,0.0
14168505,23/08/2025,Fylde,Kidderminster,Chris Merrie,right-foot,corner,miss,0.09593,0.0
14168532,30/08/2025,Fylde,Bedford,Chris Merrie,left-foot,regular,block,0.02013,0.0
14168590,11/10/2025,Fylde,Worksop,Chris Merrie,right-foot,regular,post,0.2646,0.0
14168713,06/12/2025,Fylde,Merthyr,Chris Merrie,right-foot,regular,save,0.09159,0.01863
14168782,17/01/2026,Fylde,Scarborough,Chris Merrie,left-foot,regular,block,0.32,0.0
15322125,03/02/2026,Fylde,Peterborough,Chris Merrie,right-foot,corner,block,0.06039,0.0
14168889,28/02/2026,Fylde,Curzon Ashton,Chris Merrie,left-foot,throw-in-set-piece,save,0.08369,0.1634
14168889,28/02/2026,Fylde,Curzon Ashton,Chris Merrie,left-foot,regular,miss,0.006162,0.0
14168914,10/03/2026,Fylde,Telford,Chris Merrie,left-foot,regular,goal,0.2003,0.2992
14168914,10/03/2026,Fylde,Telford,Chris Merrie,right-foot,regular,save,0.1343,0.4387
14168914,10/03/2026,Fylde,Telford,Chris Merrie,left-foot,corner,block,0.07413,0.0
15519409,17/03/2026,Fylde,Hereford,Chris Merrie,left-foot,corner,miss,0.01375,0.0
14168728,20/12/2025,Fylde,Kidderminster,Chris Merrie,right-foot,set-piece,block,0.09721,0.0
14168803,24/01/2026,Fylde,Oxford,Chris Merrie,left-foot,regular,save,0.05511,0.2287
14168803,24/01/2026,Fylde,Oxford,Chris Merrie,left-foot,regular,save,0.07269,0.02634
14168762,30/12/2025,Fylde,Radcliffe,Chris Merrie,left-foot,regular,save,0.09032,0.2921
14168762,30/12/2025,Fylde,Radcliffe,Chris Merrie,left-foot,regular,miss,0.1338,0.0
14168624,21/10/2025,Fylde,Spennymoor,Chris Merrie,left-foot,regular,block,0.00331,0.0
