Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168492,19/08/2025,Buxton,Hereford,Cian Coleman,right-foot,throw-in-set-piece,miss,0.001765,0.0
14168521,25/08/2025,Buxton,Curzon Ashton,Cian Coleman,right-foot,regular,miss,0.07778,0.0
14168521,25/08/2025,Buxton,Curzon Ashton,Cian Coleman,right-foot,corner,block,0.1144,0.0
14168783,17/01/2026,Buxton,Marine,Cian Coleman,right-foot,regular,goal,0.06944,0.2516
14168820,31/10/2025,Buxton,Spennymoor,Cian Coleman,right-foot,regular,save,0.04097,0.07601
14168868,21/02/2026,Buxton,Fylde,Cian Coleman,right-foot,regular,save,0.196,0.1944
14168939,21/03/2026,Buxton,Bedford,Cian Coleman,right-foot,corner,block,0.004238,0.0
14168930,14/03/2026,Buxton,Chorley,Cian Coleman,right-foot,regular,goal,0.4815,0.7413
14168930,14/03/2026,Buxton,Chorley,Cian Coleman,right-foot,set-piece,block,0.009842,0.0
14168930,14/03/2026,Buxton,Chorley,Cian Coleman,right-foot,regular,save,0.2801,0.6183
14168918,10/03/2026,Buxton,Darlington,Cian Coleman,right-foot,regular,goal,0.196,0.6688
14168675,22/11/2025,Buxton,Fylde,Cian Coleman,left-foot,regular,block,0.3621,0.0
14168675,22/11/2025,Buxton,Fylde,Cian Coleman,left-foot,regular,goal,0.1269,0.1124
14168675,22/11/2025,Buxton,Fylde,Cian Coleman,right-foot,regular,save,0.0361,0.01216
14168675,22/11/2025,Buxton,Fylde,Cian Coleman,left-foot,regular,block,0.04423,0.0
14168691,25/11/2025,Buxton,King's Lynn,Cian Coleman,right-foot,regular,goal,0.1293,0.1191
14168691,25/11/2025,Buxton,King's Lynn,Cian Coleman,right-foot,regular,block,0.007003,0.0
14168739,26/12/2025,Buxton,Macclesfield,Cian Coleman,left-foot,regular,post,0.2158,0.0
14168472,16/08/2025,Buxton,Marine,Cian Coleman,right-foot,regular,goal,0.4756,0.7157
14168897,28/02/2026,Buxton,Merthyr,Cian Coleman,right-foot,regular,miss,0.03947,0.0
14168897,28/02/2026,Buxton,Merthyr,Cian Coleman,left-foot,regular,block,0.3268,0.0
