Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14837121,11/11/2025,Buxton,Bedford,Connor Kirby,right-foot,regular,save,0.03346,0.01221
14837121,11/11/2025,Buxton,Bedford,Connor Kirby,right-foot,regular,block,0.04352,0.0
14837121,11/11/2025,Buxton,Bedford,Connor Kirby,right-foot,regular,miss,0.002175,0.0
14168476,09/08/2025,Buxton,Radcliffe,Connor Kirby,right-foot,throw-in-set-piece,goal,0.009708,0.378
14168476,09/08/2025,Buxton,Radcliffe,Connor Kirby,right-foot,regular,miss,0.001592,0.0
14168492,19/08/2025,Buxton,Hereford,Connor Kirby,right-foot,regular,miss,0.004292,0.0
14168492,19/08/2025,Buxton,Hereford,Connor Kirby,right-foot,regular,miss,0.02529,0.0
14168521,25/08/2025,Buxton,Curzon Ashton,Connor Kirby,right-foot,regular,miss,0.02889,0.0
14168521,25/08/2025,Buxton,Curzon Ashton,Connor Kirby,right-foot,free-kick,miss,0.0006814,0.0
14168521,25/08/2025,Buxton,Curzon Ashton,Connor Kirby,right-foot,regular,miss,0.001492,0.0
14168521,25/08/2025,Buxton,Curzon Ashton,Connor Kirby,right-foot,corner,miss,0.2519,0.0
14168521,25/08/2025,Buxton,Curzon Ashton,Connor Kirby,right-foot,free-kick,post,0.08871,0.0
14168628,25/10/2025,Buxton,Alfreton,Connor Kirby,right-foot,free-kick,miss,0.001024,0.0
14168628,25/10/2025,Buxton,Alfreton,Connor Kirby,right-foot,regular,save,0.0226,0.09743
14168654,04/11/2025,Buxton,Southport,Connor Kirby,head,regular,save,0.08824,0.1306
14168662,08/11/2025,Buxton,Chester,Connor Kirby,right-foot,free-kick,save,0.03313,0.07245
14168700,29/11/2025,Buxton,Merthyr,Connor Kirby,right-foot,corner,save,0.02042,0.04509
14168700,29/11/2025,Buxton,Merthyr,Connor Kirby,right-foot,set-piece,miss,0.05083,0.0
14168724,20/12/2025,Buxton,Telford,Connor Kirby,left-foot,regular,miss,0.113,0.0
14168751,30/12/2025,Buxton,Worksop,Connor Kirby,right-foot,regular,miss,0.01457,0.0
14168820,31/10/2025,Buxton,Spennymoor,Connor Kirby,right-foot,regular,block,0.02325,0.0
14168820,31/10/2025,Buxton,Spennymoor,Connor Kirby,right-foot,corner,miss,0.009699,0.0
14168820,31/10/2025,Buxton,Spennymoor,Connor Kirby,right-foot,corner,miss,0.02748,0.0
14168820,31/10/2025,Buxton,Spennymoor,Connor Kirby,right-foot,regular,goal,0.0248,0.0947
14168845,10/02/2026,Buxton,Peterborough,Connor Kirby,right-foot,regular,miss,0.01222,0.0
14168845,10/02/2026,Buxton,Peterborough,Connor Kirby,right-foot,regular,save,0.02973,0.02082
14168868,21/02/2026,Buxton,Fylde,Connor Kirby,head,regular,miss,0.1924,0.0
14168868,21/02/2026,Buxton,Fylde,Connor Kirby,right-foot,regular,miss,0.003785,0.0
14168878,24/02/2026,Buxton,King's Lynn,Connor Kirby,right-foot,regular,block,0.172,0.0
14168939,21/03/2026,Buxton,Bedford,Connor Kirby,right-foot,corner,block,0.002413,0.0
14168939,21/03/2026,Buxton,Bedford,Connor Kirby,left-foot,regular,miss,0.01982,0.0
14168939,21/03/2026,Buxton,Bedford,Connor Kirby,left-foot,regular,miss,0.1906,0.0
14168939,21/03/2026,Buxton,Bedford,Connor Kirby,right-foot,free-kick,miss,0.000885,0.0
14168918,10/03/2026,Buxton,Darlington,Connor Kirby,right-foot,regular,goal,0.1154,0.6057
14168953,28/03/2026,Buxton,Hereford,Connor Kirby,right-foot,set-piece,miss,0.03745,0.0
14168953,28/03/2026,Buxton,Hereford,Connor Kirby,right-foot,free-kick,block,0.08955,0.0
14168953,28/03/2026,Buxton,Hereford,Connor Kirby,left-foot,set-piece,miss,0.1569,0.0
14168575,20/09/2025,Buxton,Kidderminster,Connor Kirby,right-foot,regular,block,0.006339,0.0
14168575,20/09/2025,Buxton,Kidderminster,Connor Kirby,right-foot,regular,block,0.02929,0.0
14168472,16/08/2025,Buxton,Marine,Connor Kirby,left-foot,regular,block,0.0187,0.0
14168472,16/08/2025,Buxton,Marine,Connor Kirby,right-foot,free-kick,miss,0.0008216,0.0
14168472,16/08/2025,Buxton,Marine,Connor Kirby,right-foot,free-kick,post,0.0005569,0.0
14168897,28/02/2026,Buxton,Merthyr,Connor Kirby,right-foot,regular,save,0.02873,0.01382
14168777,10/01/2026,Buxton,Oxford,Connor Kirby,right-foot,free-kick,block,0.1161,0.0
14168777,10/01/2026,Buxton,Oxford,Connor Kirby,left-foot,set-piece,save,0.1112,0.03936
14168616,21/10/2025,Buxton,Peterborough,Connor Kirby,right-foot,free-kick,goal,0.2883,0.7492
14168616,21/10/2025,Buxton,Peterborough,Connor Kirby,left-foot,regular,miss,0.01498,0.0
14168616,21/10/2025,Buxton,Peterborough,Connor Kirby,head,corner,miss,0.039,0.0
14168616,21/10/2025,Buxton,Peterborough,Connor Kirby,right-foot,free-kick,block,0.0007104,0.0
14168552,02/09/2025,Buxton,Scarborough,Connor Kirby,right-foot,regular,block,0.0009472,0.0
14168536,30/08/2025,Buxton,South Shields,Connor Kirby,right-foot,free-kick,save,0.01825,0.02856
15141451,13/12/2025,Buxton,Spennymoor,Connor Kirby,left-foot,regular,block,0.003443,0.0
15141451,13/12/2025,Buxton,Spennymoor,Connor Kirby,right-foot,regular,block,0.001813,0.0
14168511,23/08/2025,Buxton,Telford,Connor Kirby,right-foot,set-piece,block,0.008675,0.0
