Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168631,25/10/2025,Peterborough,Curzon Ashton,Connor Wood,right-foot,regular,miss,0.02909,0.0
14168631,25/10/2025,Peterborough,Curzon Ashton,Connor Wood,left-foot,regular,block,0.008181,0.0
14168631,25/10/2025,Peterborough,Curzon Ashton,Connor Wood,left-foot,regular,block,0.009859,0.0
14168631,25/10/2025,Peterborough,Curzon Ashton,Connor Wood,left-foot,corner,block,0.003928,0.0
14878242,18/11/2025,Peterborough,Darlington,Connor Wood,left-foot,regular,save,0.139,0.07473
14168923,10/03/2026,Peterborough,Kidderminster,Connor Wood,left-foot,corner,miss,0.001443,0.0
14168609,18/10/2025,Peterborough,Alfreton,Connor Wood,right-foot,regular,block,0.1283,0.0
14168616,21/10/2025,Peterborough,Buxton,Connor Wood,right-foot,regular,block,0.07163,0.0
14168645,01/11/2025,Peterborough,Chorley,Connor Wood,left-foot,regular,block,0.02696,0.0
14168682,22/11/2025,Peterborough,Radcliffe,Connor Wood,left-foot,regular,block,0.01141,0.0
14168694,25/11/2025,Peterborough,Bedford,Connor Wood,left-foot,regular,block,0.02652,0.0
14168694,25/11/2025,Peterborough,Bedford,Connor Wood,left-foot,regular,save,0.07872,0.1121
14168694,25/11/2025,Peterborough,Bedford,Connor Wood,right-foot,regular,block,0.31,0.0
14168730,20/12/2025,Peterborough,Scarborough,Connor Wood,right-foot,regular,miss,0.01647,0.0
14168753,30/12/2025,Peterborough,Oxford,Connor Wood,left-foot,regular,miss,0.1861,0.0
14168753,30/12/2025,Peterborough,Oxford,Connor Wood,left-foot,throw-in-set-piece,save,0.04626,0.07835
14168753,30/12/2025,Peterborough,Oxford,Connor Wood,right-foot,regular,block,0.05447,0.0
14168801,24/01/2026,Peterborough,Chester,Connor Wood,left-foot,free-kick,block,0.001038,0.0
14168801,24/01/2026,Peterborough,Chester,Connor Wood,left-foot,regular,miss,0.02521,0.0
14168910,07/03/2026,Peterborough,Southport,Connor Wood,right-foot,regular,save,0.03052,0.05531
14168874,21/02/2026,Peterborough,Radcliffe,Connor Wood,left-foot,regular,miss,0.2401,0.0
14168874,21/02/2026,Peterborough,Radcliffe,Connor Wood,left-foot,corner,block,0.004441,0.0
14168874,21/02/2026,Peterborough,Radcliffe,Connor Wood,left-foot,regular,save,0.07605,0.1828
15184997,18/12/2025,Peterborough,South Shields,Connor Wood,right-foot,regular,block,0.03218,0.0
15184997,18/12/2025,Peterborough,South Shields,Connor Wood,left-foot,throw-in-set-piece,save,0.07523,0.07824
