Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168499,19/08/2025,Fylde,Darlington,Corey Whelan,head,corner,save,0.07139,0.3763
14168499,19/08/2025,Fylde,Darlington,Corey Whelan,head,set-piece,miss,0.06535,0.0
14168505,23/08/2025,Fylde,Kidderminster,Corey Whelan,right-foot,corner,block,0.03155,0.0
14168782,17/01/2026,Fylde,Scarborough,Corey Whelan,head,corner,save,0.05528,0.282
14168914,10/03/2026,Fylde,Telford,Corey Whelan,right-foot,corner,save,0.0798,0.06424
14168914,10/03/2026,Fylde,Telford,Corey Whelan,head,corner,miss,0.09568,0.0
15864927,31/03/2026,Fylde,Marine,Corey Whelan,right-foot,corner,miss,0.5011,0.0
14168642,01/11/2025,Fylde,Marine,Corey Whelan,right-foot,corner,block,0.05116,0.0
14168559,06/09/2025,Fylde,Peterborough,Corey Whelan,left-foot,corner,block,0.1308,0.0
14168576,04/10/2025,Fylde,Telford,Corey Whelan,left-foot,corner,goal,0.3146,0.5972
14168576,04/10/2025,Fylde,Telford,Corey Whelan,right-foot,regular,save,0.09127,0.0855
