Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14169188,18/10/2025,Chorley,Buxton,Craig Hewitt,right-foot,regular,miss,0.127,0.0
14168498,19/08/2025,Chorley,Scarborough,Craig Hewitt,right-foot,corner,block,0.01371,0.0
14168522,25/08/2025,Chorley,King's Lynn,Craig Hewitt,right-foot,regular,save,0.05569,0.05809
14168522,25/08/2025,Chorley,King's Lynn,Craig Hewitt,right-foot,regular,goal,0.1717,0.3086
14168522,25/08/2025,Chorley,King's Lynn,Craig Hewitt,right-foot,free-kick,block,0.1056,0.0
14168522,25/08/2025,Chorley,King's Lynn,Craig Hewitt,right-foot,free-kick,save,0.03704,0.2724
14168558,06/09/2025,Chorley,Telford,Craig Hewitt,right-foot,regular,goal,0.04722,0.02391
14168558,06/09/2025,Chorley,Telford,Craig Hewitt,right-foot,regular,save,0.1127,0.1
14168570,20/09/2025,Chorley,Macclesfield,Craig Hewitt,right-foot,penalty,goal,0.76,0.81
14168570,20/09/2025,Chorley,Macclesfield,Craig Hewitt,right-foot,regular,block,0.02357,0.0
14168570,20/09/2025,Chorley,Macclesfield,Craig Hewitt,right-foot,penalty,goal,0.76,0.81
14168591,11/10/2025,Chorley,Oxford,Craig Hewitt,right-foot,penalty,goal,0.76,0.81
14168543,02/09/2025,Chorley,Curzon Ashton,Craig Hewitt,right-foot,regular,save,0.03538,0.3007
14168543,02/09/2025,Chorley,Curzon Ashton,Craig Hewitt,right-foot,regular,save,0.09132,0.1088
14168506,23/08/2025,Chorley,Hereford,Craig Hewitt,right-foot,throw-in-set-piece,goal,0.09143,0.822
14168621,21/10/2025,Chorley,Southport,Craig Hewitt,right-foot,throw-in-set-piece,block,0.001408,0.0
14168621,21/10/2025,Chorley,Southport,Craig Hewitt,right-foot,regular,goal,0.04285,0.03613
14168621,21/10/2025,Chorley,Southport,Craig Hewitt,right-foot,throw-in-set-piece,miss,0.03275,0.0
14168588,04/10/2025,Chorley,South Shields,Craig Hewitt,right-foot,free-kick,save,0.02299,0.1071
14168588,04/10/2025,Chorley,South Shields,Craig Hewitt,right-foot,throw-in-set-piece,block,0.121,0.0
