Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168855,14/02/2026,Radcliffe,Chorley,Dan Gardner,right-foot,corner,block,0.009972,0.0
14168674,08/11/2025,Radcliffe,Chorley,Dan Gardner,right-foot,corner,block,0.004102,0.0
14168711,29/11/2025,Radcliffe,Telford,Dan Gardner,right-foot,corner,miss,0.01959,0.0
14168798,24/01/2026,Radcliffe,Buxton,Dan Gardner,right-foot,regular,miss,0.05031,0.0
14168798,24/01/2026,Radcliffe,Buxton,Dan Gardner,right-foot,corner,block,0.01443,0.0
14168814,27/01/2026,Radcliffe,Scarborough,Dan Gardner,right-foot,regular,block,0.006919,0.0
14168814,27/01/2026,Radcliffe,Scarborough,Dan Gardner,right-foot,set-piece,block,0.04804,0.0
14168874,21/02/2026,Radcliffe,Peterborough,Dan Gardner,right-foot,corner,block,0.00499,0.0
14168888,24/02/2026,Radcliffe,Southport,Dan Gardner,right-foot,free-kick,miss,0.0008562,0.0
14168906,07/03/2026,Radcliffe,Merthyr,Dan Gardner,right-foot,free-kick,block,0.007628,0.0
