Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14877540,11/11/2025,Spennymoor,Alfreton,Dan Rowe,head,corner,miss,0.1308,0.0
14168820,31/10/2025,Spennymoor,Buxton,Dan Rowe,head,corner,save,0.09367,0.1261
14168690,25/11/2025,Spennymoor,Chorley,Dan Rowe,head,corner,miss,0.1277,0.0
14168495,09/08/2025,Spennymoor,Hereford,Dan Rowe,left-foot,corner,goal,0.1318,0.1688
14168495,09/08/2025,Spennymoor,Hereford,Dan Rowe,head,set-piece,save,0.2044,0.2752
14168592,04/10/2025,Spennymoor,Southport,Dan Rowe,right-foot,throw-in-set-piece,block,0.009324,0.0
14168614,18/10/2025,Spennymoor,Merthyr,Dan Rowe,left-foot,corner,goal,0.1355,0.845
14168614,18/10/2025,Spennymoor,Merthyr,Dan Rowe,head,corner,goal,0.2238,0.4066
15141451,13/12/2025,Spennymoor,Buxton,Dan Rowe,head,corner,save,0.1654,0.2347
14168530,30/08/2025,Spennymoor,Telford,Dan Rowe,head,throw-in-set-piece,save,0.04056,0.2238
