Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168723,20/12/2025,Marine,Bedford,Declan Drysdale,right-foot,set-piece,save,0.3363,0.2743
15864927,31/03/2026,Marine,Fylde,Declan Drysdale,right-foot,regular,miss,0.07909,0.0
14168884,24/02/2026,Marine,Kidderminster,Declan Drysdale,right-foot,regular,block,0.1443,0.0
14168668,08/11/2025,Marine,Leamington,Declan Drysdale,head,corner,miss,0.2816,0.0
14168642,01/11/2025,Marine,Fylde,Declan Drysdale,right-foot,corner,miss,0.1369,0.0
14837164,11/11/2025,Marine,Telford,Declan Drysdale,right-foot,set-piece,save,0.02845,0.02276
14837164,11/11/2025,Marine,Telford,Declan Drysdale,head,set-piece,miss,0.07258,0.0
14168680,22/11/2025,Marine,Oxford,Declan Drysdale,right-foot,throw-in-set-piece,miss,0.01417,0.0
14168680,22/11/2025,Marine,Oxford,Declan Drysdale,head,set-piece,miss,0.1857,0.0
14168692,25/11/2025,Marine,Kidderminster,Declan Drysdale,right-foot,set-piece,goal,0.3808,0.7413
14168937,14/03/2026,Marine,Worksop,Declan Drysdale,head,corner,goal,0.2805,0.4902
14168937,14/03/2026,Marine,Worksop,Declan Drysdale,right-foot,regular,miss,0.01373,0.0
15366761,17/03/2026,Marine,Peterborough,Declan Drysdale,right-foot,set-piece,block,0.002338,0.0
14168637,25/10/2025,Marine,Scarborough,Declan Drysdale,head,corner,miss,0.1129,0.0
