Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168497,16/08/2025,Leamington,South Shields,Demico Burton,left-foot,regular,miss,0.0438,0.0
14168512,23/08/2025,Leamington,Radcliffe,Demico Burton,left-foot,regular,block,0.03288,0.0
14168512,23/08/2025,Leamington,Radcliffe,Demico Burton,left-foot,corner,miss,0.1791,0.0
14168540,30/08/2025,Leamington,Chorley,Demico Burton,left-foot,regular,save,0.2046,0.2445
14168547,02/09/2025,Leamington,Southport,Demico Burton,left-foot,set-piece,save,0.3513,0.667
14168582,04/10/2025,Leamington,Hereford,Demico Burton,left-foot,regular,block,0.01477,0.0
14168582,04/10/2025,Leamington,Hereford,Demico Burton,left-foot,regular,miss,0.01969,0.0
14168605,18/10/2025,Leamington,Darlington,Demico Burton,left-foot,throw-in-set-piece,block,0.01794,0.0
14168605,18/10/2025,Leamington,Darlington,Demico Burton,head,corner,save,0.3536,0.7422
14168605,18/10/2025,Leamington,Darlington,Demico Burton,left-foot,regular,miss,0.06305,0.0
14168693,25/11/2025,Leamington,Merthyr,Demico Burton,left-foot,regular,miss,0.03909,0.0
14168636,25/10/2025,Leamington,Oxford,Demico Burton,left-foot,throw-in-set-piece,block,0.02377,0.0
14168502,19/08/2025,Leamington,Peterborough,Demico Burton,head,corner,block,0.05166,0.0
14168731,20/12/2025,Leamington,Radcliffe,Demico Burton,left-foot,throw-in-set-piece,miss,0.001899,0.0
