Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168784,17/01/2026,Southport,Bedford,Djavan Michael Pedro,right-foot,regular,save,0.2162,0.3504
14168841,10/02/2026,Southport,Chorley,Djavan Michael Pedro,head,set-piece,miss,0.2625,0.0
14168841,10/02/2026,Southport,Chorley,Djavan Michael Pedro,right-foot,throw-in-set-piece,goal,0.4775,0.7811
14168804,24/01/2026,Southport,Merthyr,Djavan Michael Pedro,left-foot,regular,save,0.1443,0.1183
14168804,24/01/2026,Southport,Merthyr,Djavan Michael Pedro,right-foot,regular,block,0.2134,0.0
14168804,24/01/2026,Southport,Merthyr,Djavan Michael Pedro,head,set-piece,miss,0.05705,0.0
14168804,24/01/2026,Southport,Merthyr,Djavan Michael Pedro,head,set-piece,save,0.123,0.5241
14168804,24/01/2026,Southport,Merthyr,Djavan Michael Pedro,left-foot,regular,block,0.4962,0.0
14168864,14/02/2026,Southport,Hereford,Djavan Michael Pedro,left-foot,regular,block,0.111,0.0
15322118,20/01/2026,Southport,South Shields,Djavan Michael Pedro,left-foot,regular,save,0.3918,0.4787
