Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168567,20/09/2025,Telford,Alfreton,Dylan  Allen-Hadley,right-foot,regular,block,0.04974,0.0
14168567,20/09/2025,Telford,Alfreton,Dylan  Allen-Hadley,right-foot,regular,block,0.148,0.0
14168567,20/09/2025,Telford,Alfreton,Dylan  Allen-Hadley,right-foot,set-piece,save,0.1543,0.3176
14168558,06/09/2025,Telford,Chorley,Dylan  Allen-Hadley,right-foot,regular,block,0.05362,0.0
14168558,06/09/2025,Telford,Chorley,Dylan  Allen-Hadley,right-foot,regular,miss,0.444,0.0
14168786,17/01/2026,Telford,Curzon Ashton,Dylan  Allen-Hadley,right-foot,regular,save,0.03009,0.2622
14168786,17/01/2026,Telford,Curzon Ashton,Dylan  Allen-Hadley,right-foot,regular,goal,0.4967,0.8029
14168520,25/08/2025,Telford,Darlington,Dylan  Allen-Hadley,right-foot,regular,goal,0.05943,0.486
14168914,10/03/2026,Telford,Fylde,Dylan  Allen-Hadley,right-foot,regular,miss,0.05968,0.0
14969964,09/12/2025,Telford,Leamington,Dylan  Allen-Hadley,right-foot,regular,goal,0.2069,0.711
14168811,27/01/2026,Telford,Merthyr,Dylan  Allen-Hadley,left-foot,regular,goal,0.1092,0.5972
14168811,27/01/2026,Telford,Merthyr,Dylan  Allen-Hadley,right-foot,regular,block,0.00953,0.0
14168811,27/01/2026,Telford,Merthyr,Dylan  Allen-Hadley,right-foot,regular,goal,0.1992,0.6277
14168711,29/11/2025,Telford,Radcliffe,Dylan  Allen-Hadley,right-foot,throw-in-set-piece,goal,0.08766,0.0
14168935,14/03/2026,Telford,Scarborough,Dylan  Allen-Hadley,right-foot,regular,save,0.217,0.2123
14168876,21/02/2026,Telford,South Shields,Dylan  Allen-Hadley,right-foot,regular,block,0.09644,0.0
14168876,21/02/2026,Telford,South Shields,Dylan  Allen-Hadley,right-foot,regular,miss,0.1724,0.0
14168876,21/02/2026,Telford,South Shields,Dylan  Allen-Hadley,left-foot,regular,save,0.1314,0.1828
15341361,03/02/2026,Telford,Spennymoor,Dylan  Allen-Hadley,right-foot,regular,miss,0.3622,0.0
15341361,03/02/2026,Telford,Spennymoor,Dylan  Allen-Hadley,right-foot,throw-in-set-piece,miss,0.001813,0.0
15341361,03/02/2026,Telford,Spennymoor,Dylan  Allen-Hadley,head,regular,miss,0.1364,0.0
14168478,16/08/2025,Telford,Curzon Ashton,Dylan  Allen-Hadley,left-foot,regular,save,0.08862,0.04219
14168478,16/08/2025,Telford,Curzon Ashton,Dylan  Allen-Hadley,left-foot,regular,save,0.03818,0.215
14168478,16/08/2025,Telford,Curzon Ashton,Dylan  Allen-Hadley,right-foot,regular,save,0.03032,0.009867
14168530,30/08/2025,Telford,Spennymoor,Dylan  Allen-Hadley,right-foot,regular,block,0.02255,0.0
14168530,30/08/2025,Telford,Spennymoor,Dylan  Allen-Hadley,left-foot,regular,goal,0.4903,0.7294
14168530,30/08/2025,Telford,Spennymoor,Dylan  Allen-Hadley,right-foot,corner,save,0.05744,0.02233
14168546,02/09/2025,Telford,Peterborough,Dylan  Allen-Hadley,right-foot,regular,save,0.03181,0.03054
14168546,02/09/2025,Telford,Peterborough,Dylan  Allen-Hadley,right-foot,regular,save,0.08288,0.1129
14168576,04/10/2025,Telford,Fylde,Dylan  Allen-Hadley,right-foot,regular,miss,0.009911,0.0
14168795,24/01/2026,Telford,King's Lynn,Dylan  Allen-Hadley,right-foot,regular,save,0.1748,0.06207
14168795,24/01/2026,Telford,King's Lynn,Dylan  Allen-Hadley,right-foot,regular,miss,0.1015,0.0
15452627,17/02/2026,Telford,Chorley,Dylan  Allen-Hadley,right-foot,regular,miss,0.1513,0.0
15452627,17/02/2026,Telford,Chorley,Dylan  Allen-Hadley,right-foot,regular,goal,0.3193,0.5987
15452627,17/02/2026,Telford,Chorley,Dylan  Allen-Hadley,right-foot,regular,goal,0.2331,0.1719
14168891,28/02/2026,Telford,Radcliffe,Dylan  Allen-Hadley,head,regular,miss,0.1137,0.0
14168891,28/02/2026,Telford,Radcliffe,Dylan  Allen-Hadley,right-foot,regular,block,0.05178,0.0
15447037,03/03/2026,Telford,Leamington,Dylan  Allen-Hadley,head,corner,miss,0.2238,0.0
14168901,07/03/2026,Telford,Alfreton,Dylan  Allen-Hadley,right-foot,regular,goal,0.5876,0.8222
14168901,07/03/2026,Telford,Alfreton,Dylan  Allen-Hadley,right-foot,regular,block,0.1126,0.0
14168901,07/03/2026,Telford,Alfreton,Dylan  Allen-Hadley,right-foot,regular,miss,0.007175,0.0
15395692,17/03/2026,Telford,Macclesfield,Dylan  Allen-Hadley,right-foot,regular,block,0.2638,0.0
15395692,17/03/2026,Telford,Macclesfield,Dylan  Allen-Hadley,left-foot,regular,block,0.1144,0.0
14168936,21/03/2026,Telford,Marine,Dylan  Allen-Hadley,right-foot,regular,save,0.2381,0.224
14168950,28/03/2026,Telford,Bedford,Dylan  Allen-Hadley,left-foot,regular,save,0.07954,0.07349
14168950,28/03/2026,Telford,Bedford,Dylan  Allen-Hadley,right-foot,regular,miss,0.04794,0.0
14168950,28/03/2026,Telford,Bedford,Dylan  Allen-Hadley,right-foot,regular,block,0.004409,0.0
14168950,28/03/2026,Telford,Bedford,Dylan  Allen-Hadley,head,throw-in-set-piece,miss,0.009751,0.0
