Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168470,16/08/2025,Darlington,Alfreton,Elliot Forbes,right-foot,regular,miss,0.001566,0.0
14168580,04/10/2025,Darlington,Buxton,Elliot Forbes,right-foot,regular,block,0.00523,0.0
14168580,04/10/2025,Darlington,Buxton,Elliot Forbes,left-foot,regular,post,0.1389,0.0
14168494,09/08/2025,Darlington,Chorley,Elliot Forbes,right-foot,regular,block,0.04982,0.0
14168499,19/08/2025,Darlington,Fylde,Elliot Forbes,right-foot,regular,miss,0.01369,0.0
14168499,19/08/2025,Darlington,Fylde,Elliot Forbes,head,corner,goal,0.4066,0.8013
14168727,20/12/2025,Darlington,King's Lynn,Elliot Forbes,right-foot,regular,miss,0.09476,0.0
14168752,30/12/2025,Darlington,South Shields,Elliot Forbes,head,regular,save,0.1218,0.4701
14168752,30/12/2025,Darlington,South Shields,Elliot Forbes,left-foot,throw-in-set-piece,block,0.00369,0.0
14168787,17/01/2026,Darlington,Alfreton,Elliot Forbes,right-foot,regular,miss,0.008415,0.0
14168895,28/02/2026,Darlington,Bedford,Elliot Forbes,right-foot,regular,save,0.04577,0.01492
14168895,28/02/2026,Darlington,Bedford,Elliot Forbes,right-foot,corner,block,0.0108,0.0
14168895,28/02/2026,Darlington,Bedford,Elliot Forbes,head,throw-in-set-piece,miss,0.02073,0.0
15261863,17/02/2026,Darlington,Hereford,Elliot Forbes,right-foot,regular,miss,0.003497,0.0
15261863,17/02/2026,Darlington,Hereford,Elliot Forbes,right-foot,throw-in-set-piece,miss,0.01943,0.0
14168840,07/02/2026,Darlington,Southport,Elliot Forbes,right-foot,regular,block,0.002473,0.0
14168998,11/04/2026,Darlington,Marine,Elliot Forbes,head,regular,miss,0.02104,0.0
14169013,25/04/2026,Darlington,Oxford,Elliot Forbes,right-foot,set-piece,save,0.09151,0.1792
