Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168881,24/02/2026,Darlington,Curzon Ashton,Ellis Stanton,right-foot,free-kick,block,0.1975,0.0
14168881,24/02/2026,Darlington,Curzon Ashton,Ellis Stanton,right-foot,set-piece,block,0.2585,0.0
14168494,09/08/2025,Darlington,Chorley,Ellis Stanton,right-foot,regular,miss,0.04274,0.0
14168494,09/08/2025,Darlington,Chorley,Ellis Stanton,right-foot,regular,block,0.00408,0.0
14168564,06/09/2025,Darlington,Hereford,Ellis Stanton,right-foot,regular,save,0.0552,0.0324
14168689,25/11/2025,Darlington,Curzon Ashton,Ellis Stanton,right-foot,regular,block,0.03257,0.0
14168823,31/01/2026,Darlington,Merthyr,Ellis Stanton,right-foot,free-kick,block,0.001299,0.0
14168823,31/01/2026,Darlington,Merthyr,Ellis Stanton,left-foot,regular,save,0.06085,0.4998
14168538,30/08/2025,Darlington,Macclesfield,Ellis Stanton,head,corner,save,0.09837,0.4489
14168840,07/02/2026,Darlington,Southport,Ellis Stanton,right-foot,regular,miss,0.1924,0.0
14168877,21/02/2026,Darlington,Spennymoor,Ellis Stanton,left-foot,regular,save,0.1458,0.1484
