Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168506,23/08/2025,Hereford,Chorley,Eno Nto,right-foot,corner,goal,0.3484,0.6935
14168545,02/09/2025,Hereford,Bedford,Eno Nto,right-foot,regular,miss,0.02283,0.0
14168545,02/09/2025,Hereford,Bedford,Eno Nto,right-foot,regular,miss,0.008709,0.0
14168545,02/09/2025,Hereford,Bedford,Eno Nto,head,regular,save,0.2302,0.3285
14168545,02/09/2025,Hereford,Bedford,Eno Nto,right-foot,regular,miss,0.007659,0.0
14168545,02/09/2025,Hereford,Bedford,Eno Nto,right-foot,throw-in-set-piece,block,0.03587,0.0
14169015,06/12/2025,Hereford,Peterborough,Eno Nto,left-foot,throw-in-set-piece,save,0.06004,0.2212
14168523,25/08/2025,Hereford,Radcliffe,Eno Nto,left-foot,regular,block,0.02931,0.0
14168495,09/08/2025,Hereford,Spennymoor,Eno Nto,head,regular,miss,0.1517,0.0
14168495,09/08/2025,Hereford,Spennymoor,Eno Nto,head,corner,block,0.1969,0.0
