Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168931,14/03/2026,Leamington,Darlington,Eric Yahaya,right-foot,regular,block,0.01537,0.0
14168931,14/03/2026,Leamington,Darlington,Eric Yahaya,right-foot,set-piece,miss,0.3788,0.0
14168931,14/03/2026,Leamington,Darlington,Eric Yahaya,left-foot,set-piece,save,0.0622,0.03659
14168920,10/03/2026,Leamington,Hereford,Eric Yahaya,right-foot,regular,block,0.1145,0.0
14168833,07/02/2026,Leamington,Oxford,Eric Yahaya,head,regular,save,0.05514,0.07365
14168886,24/02/2026,Leamington,Merthyr,Eric Yahaya,right-foot,regular,block,0.1841,0.0
14168886,24/02/2026,Leamington,Merthyr,Eric Yahaya,right-foot,regular,block,0.0267,0.0
14168886,24/02/2026,Leamington,Merthyr,Eric Yahaya,left-foot,regular,save,0.05704,0.06445
15495110,24/03/2026,Leamington,King's Lynn,Eric Yahaya,right-foot,regular,goal,0.08685,0.3476
14168958,28/03/2026,Leamington,Peterborough,Eric Yahaya,right-foot,regular,block,0.1941,0.0
14168958,28/03/2026,Leamington,Peterborough,Eric Yahaya,head,regular,miss,0.3009,0.0
14168859,14/02/2026,Leamington,Marine,Eric Yahaya,head,regular,miss,0.01287,0.0
14168859,14/02/2026,Leamington,Marine,Eric Yahaya,head,set-piece,miss,0.09222,0.0
