Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14877540,11/11/2025,Spennymoor,Alfreton,Ethan Robson,left-foot,regular,miss,0.008064,0.0
14168655,04/11/2025,Spennymoor,Curzon Ashton,Ethan Robson,right-foot,regular,goal,0.3789,0.8347
14168655,04/11/2025,Spennymoor,Curzon Ashton,Ethan Robson,left-foot,regular,miss,0.005351,0.0
14168655,04/11/2025,Spennymoor,Curzon Ashton,Ethan Robson,left-foot,corner,block,0.005995,0.0
14168932,14/03/2026,South Shields,Hereford,Ethan Robson,right-foot,regular,block,0.05939,0.0
14168633,25/10/2025,Spennymoor,Kidderminster,Ethan Robson,left-foot,regular,miss,0.03312,0.0
14168633,25/10/2025,Spennymoor,Kidderminster,Ethan Robson,left-foot,set-piece,miss,0.0917,0.0
14168876,21/02/2026,South Shields,Telford,Ethan Robson,left-foot,regular,block,0.3626,0.0
15473420,03/03/2026,South Shields,Fylde,Ethan Robson,left-foot,free-kick,save,0.0469,0.005567
14168614,18/10/2025,Spennymoor,Merthyr,Ethan Robson,right-foot,throw-in-set-piece,save,0.1505,0.4923
14168614,18/10/2025,Spennymoor,Merthyr,Ethan Robson,right-foot,throw-in-set-piece,save,0.3802,0.6411
14168672,08/11/2025,Spennymoor,Peterborough,Ethan Robson,left-foot,regular,miss,0.05016,0.0
14168672,08/11/2025,Spennymoor,Peterborough,Ethan Robson,left-foot,regular,save,0.03661,0.02331
14168672,08/11/2025,Spennymoor,Peterborough,Ethan Robson,left-foot,set-piece,miss,0.003088,0.0
15141451,13/12/2025,Spennymoor,Buxton,Ethan Robson,left-foot,corner,block,0.0225,0.0
14168760,30/12/2025,Spennymoor,Scarborough,Ethan Robson,left-foot,regular,save,0.1621,0.3877
14168760,30/12/2025,Spennymoor,Scarborough,Ethan Robson,left-foot,corner,block,0.08446,0.0
14168790,17/01/2026,Spennymoor,Radcliffe,Ethan Robson,left-foot,regular,block,0.002297,0.0
