Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168491,09/08/2025,Leamington,Curzon Ashton,Ewan  Williams,right-foot,corner,block,0.08529,0.0
14168491,09/08/2025,Leamington,Curzon Ashton,Ewan  Williams,left-foot,regular,block,0.05601,0.0
14168491,09/08/2025,Leamington,Curzon Ashton,Ewan  Williams,right-foot,throw-in-set-piece,block,0.01744,0.0
14168920,10/03/2026,Leamington,Hereford,Ewan  Williams,left-foot,regular,block,0.03668,0.0
14168920,10/03/2026,Leamington,Hereford,Ewan  Williams,right-foot,corner,miss,0.02023,0.0
14168920,10/03/2026,Leamington,Hereford,Ewan  Williams,right-foot,regular,miss,0.03947,0.0
14168497,16/08/2025,Leamington,South Shields,Ewan  Williams,left-foot,corner,block,0.1709,0.0
14168512,23/08/2025,Leamington,Radcliffe,Ewan  Williams,right-foot,regular,block,0.3634,0.0
14168512,23/08/2025,Leamington,Radcliffe,Ewan  Williams,right-foot,regular,goal,0.6118,0.8179
14168512,23/08/2025,Leamington,Radcliffe,Ewan  Williams,right-foot,corner,block,0.04891,1.306e-05
14168512,23/08/2025,Leamington,Radcliffe,Ewan  Williams,right-foot,regular,save,0.3401,0.413
14168540,30/08/2025,Leamington,Chorley,Ewan  Williams,head,regular,miss,0.05325,0.0
14168547,02/09/2025,Leamington,Southport,Ewan  Williams,right-foot,regular,goal,0.2498,0.6061
14168582,04/10/2025,Leamington,Hereford,Ewan  Williams,left-foot,regular,save,0.0984,0.1351
14168582,04/10/2025,Leamington,Hereford,Ewan  Williams,head,corner,save,0.1201,0.07716
14168582,04/10/2025,Leamington,Hereford,Ewan  Williams,right-foot,throw-in-set-piece,block,0.01021,0.0
14168605,18/10/2025,Leamington,Darlington,Ewan  Williams,right-foot,throw-in-set-piece,save,0.07979,0.1289
14168668,08/11/2025,Leamington,Marine,Ewan  Williams,right-foot,throw-in-set-piece,block,0.2127,0.0
14969964,09/12/2025,Leamington,Telford,Ewan  Williams,left-foot,regular,block,0.1849,0.0
14168740,26/12/2025,Leamington,Bedford,Ewan  Williams,head,corner,goal,0.1507,0.6694
14168833,07/02/2026,Leamington,Oxford,Ewan  Williams,head,corner,miss,0.1464,0.0
15399474,17/02/2026,Leamington,Spennymoor,Ewan  Williams,left-foot,corner,block,0.1553,0.0
15399474,17/02/2026,Leamington,Spennymoor,Ewan  Williams,right-foot,regular,block,0.02997,0.0
14168886,24/02/2026,Leamington,Merthyr,Ewan  Williams,right-foot,throw-in-set-piece,block,0.0006353,0.0
15495110,24/03/2026,Leamington,King's Lynn,Ewan  Williams,right-foot,regular,block,0.02007,0.0
14168958,28/03/2026,Leamington,Peterborough,Ewan  Williams,right-foot,regular,save,0.503,0.5939
14168852,10/02/2026,Leamington,Macclesfield,Ewan  Williams,head,regular,miss,0.03169,0.0
14168859,14/02/2026,Leamington,Marine,Ewan  Williams,right-foot,regular,save,0.01356,0.1292
14168693,25/11/2025,Leamington,Merthyr,Ewan  Williams,left-foot,throw-in-set-piece,miss,0.07966,0.0
14168502,19/08/2025,Leamington,Peterborough,Ewan  Williams,right-foot,regular,miss,0.003156,0.0
14168502,19/08/2025,Leamington,Peterborough,Ewan  Williams,head,set-piece,miss,0.1276,0.0
15447037,03/03/2026,Leamington,Telford,Ewan  Williams,left-foot,throw-in-set-piece,miss,0.007869,0.0
15447037,03/03/2026,Leamington,Telford,Ewan  Williams,head,regular,save,0.2141,0.7418
14168902,28/02/2026,Leamington,Worksop,Ewan  Williams,right-foot,set-piece,miss,0.02533,0.0
14168902,28/02/2026,Leamington,Worksop,Ewan  Williams,right-foot,regular,miss,0.03011,0.0
