Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168652,04/11/2025,Marine,Chester,George Newell,head,corner,goal,0.04715,0.05482
14168847,10/02/2026,Marine,Curzon Ashton,George Newell,head,corner,miss,0.05976,0.0
15864927,31/03/2026,Marine,Fylde,George Newell,right-foot,regular,save,0.4507,0.8118
14168472,16/08/2025,Marine,Buxton,George Newell,right-foot,regular,save,0.214,0.3329
14168472,16/08/2025,Marine,Buxton,George Newell,right-foot,set-piece,goal,0.7229,0.8869
14168619,11/10/2025,Marine,Curzon Ashton,George Newell,right-foot,regular,block,0.5458,0.0
14168619,11/10/2025,Marine,Curzon Ashton,George Newell,head,corner,block,0.1256,0.0
14168619,11/10/2025,Marine,Curzon Ashton,George Newell,right-foot,regular,save,0.04071,0.04238
14168619,11/10/2025,Marine,Curzon Ashton,George Newell,head,regular,miss,0.1588,0.0
14837164,11/11/2025,Marine,Telford,George Newell,head,set-piece,goal,0.09803,0.4227
14837164,11/11/2025,Marine,Telford,George Newell,right-foot,regular,goal,0.1497,0.1443
14837164,11/11/2025,Marine,Telford,George Newell,right-foot,regular,miss,0.1256,0.0
14837164,11/11/2025,Marine,Telford,George Newell,left-foot,regular,save,0.3008,0.1658
14168680,22/11/2025,Marine,Oxford,George Newell,head,regular,miss,0.1154,0.0
14168680,22/11/2025,Marine,Oxford,George Newell,right-foot,regular,block,0.03002,2.072e-05
14168680,22/11/2025,Marine,Oxford,George Newell,right-foot,regular,miss,0.1254,0.0
14168692,25/11/2025,Marine,Kidderminster,George Newell,left-foot,regular,goal,0.2038,0.641
14168834,07/02/2026,Marine,Scarborough,George Newell,left-foot,regular,block,0.005304,0.0
14168859,14/02/2026,Marine,Leamington,George Newell,head,corner,goal,0.4316,0.8719
14168859,14/02/2026,Marine,Leamington,George Newell,left-foot,regular,block,0.6042,0.0
14168937,14/03/2026,Marine,Worksop,George Newell,left-foot,throw-in-set-piece,post,0.01916,0.0
14168501,19/08/2025,Marine,Merthyr,George Newell,right-foot,regular,save,0.1716,0.3328
14168637,25/10/2025,Marine,Scarborough,George Newell,head,regular,goal,0.3777,0.5314
14168480,09/08/2025,Marine,South Shields,George Newell,right-foot,regular,miss,0.1128,0.0
14168480,09/08/2025,Marine,South Shields,George Newell,left-foot,regular,miss,0.1445,0.0
14168480,09/08/2025,Marine,South Shields,George Newell,right-foot,regular,miss,0.1493,0.0
14168998,11/04/2026,Marine,Darlington,George Newell,right-foot,set-piece,goal,0.7166,0.7922
15691191,14/04/2026,Marine,Merthyr,George Newell,right-foot,regular,miss,0.2063,0.0
14169002,18/04/2026,Marine,Alfreton,George Newell,head,regular,goal,0.4102,0.788
14169002,18/04/2026,Marine,Alfreton,George Newell,right-foot,regular,block,0.0007514,0.0
14169002,18/04/2026,Marine,Alfreton,George Newell,right-foot,regular,miss,0.09411,0.0
14168972,03/04/2026,Marine,Southport,George Newell,left-foot,regular,save,0.08739,0.3534
