Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14169188,18/10/2025,Buxton,Chorley,George Ward,right-foot,corner,goal,0.819,0.9171
14168724,20/12/2025,Buxton,Telford,George Ward,head,corner,miss,0.114,0.0
14168751,30/12/2025,Buxton,Worksop,George Ward,head,corner,goal,0.03686,0.2777
14168820,31/10/2025,Buxton,Spennymoor,George Ward,head,regular,miss,0.09735,0.0
14168930,14/03/2026,Buxton,Chorley,George Ward,right-foot,set-piece,block,0.2452,0.0
14168918,10/03/2026,Buxton,Darlington,George Ward,right-foot,corner,block,0.1398,0.0
14168953,28/03/2026,Buxton,Hereford,George Ward,head,corner,goal,0.4695,0.7959
14168739,26/12/2025,Buxton,Macclesfield,George Ward,head,corner,goal,0.04258,0.1042
14168739,26/12/2025,Buxton,Macclesfield,George Ward,right-foot,regular,miss,0.01775,0.0
14168739,26/12/2025,Buxton,Macclesfield,George Ward,right-foot,set-piece,miss,0.01513,0.0
14168472,16/08/2025,Buxton,Marine,George Ward,left-foot,corner,block,0.1445,0.0
14168777,10/01/2026,Buxton,Oxford,George Ward,head,set-piece,goal,0.2038,0.6007
14168777,10/01/2026,Buxton,Oxford,George Ward,head,corner,miss,0.06076,0.0
14168616,21/10/2025,Buxton,Peterborough,George Ward,head,corner,save,0.0779,0.09162
15141451,13/12/2025,Buxton,Spennymoor,George Ward,right-foot,regular,save,0.04095,0.5464
15519412,14/04/2026,Buxton,Alfreton,George Ward,left-foot,regular,miss,0.1151,0.0
14168964,03/04/2026,Buxton,Macclesfield,George Ward,right-foot,throw-in-set-piece,goal,0.2223,0.7066
14168993,11/04/2026,Buxton,Scarborough,George Ward,right-foot,corner,block,0.04881,0.0
14168993,11/04/2026,Buxton,Scarborough,George Ward,head,corner,miss,0.039,0.0
14169021,25/04/2026,Buxton,Leamington,George Ward,head,corner,miss,0.0988,0.0
14169021,25/04/2026,Buxton,Leamington,George Ward,head,corner,block,0.07839,0.0
14169021,25/04/2026,Buxton,Leamington,George Ward,head,corner,miss,0.1246,0.0
