Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168755,03/01/2026,Fylde,Bedford,George Wilson,right-foot,regular,block,0.004518,0.0
14168499,19/08/2025,Fylde,Darlington,George Wilson,right-foot,regular,miss,0.1058,0.0
14168482,09/08/2025,Fylde,Oxford,George Wilson,left-foot,regular,block,0.07657,0.0
14168482,09/08/2025,Fylde,Oxford,George Wilson,left-foot,regular,block,0.04103,0.0
14168482,09/08/2025,Fylde,Oxford,George Wilson,right-foot,throw-in-set-piece,miss,0.001821,0.0
14168482,09/08/2025,Fylde,Oxford,George Wilson,head,corner,miss,0.1611,0.0
14168649,05/11/2025,Fylde,South Shields,George Wilson,right-foot,set-piece,post,0.1145,0.0
14168649,05/11/2025,Fylde,South Shields,George Wilson,left-foot,throw-in-set-piece,miss,0.003206,0.0
14168686,25/11/2025,Fylde,Macclesfield,George Wilson,right-foot,regular,goal,0.1162,0.4388
14168686,25/11/2025,Fylde,Macclesfield,George Wilson,right-foot,regular,miss,0.0226,0.0
14168686,25/11/2025,Fylde,Macclesfield,George Wilson,right-foot,regular,block,0.02285,0.0
14168686,25/11/2025,Fylde,Macclesfield,George Wilson,right-foot,regular,save,0.03342,0.1154
14168713,06/12/2025,Fylde,Merthyr,George Wilson,right-foot,regular,miss,0.001218,0.0
14168713,06/12/2025,Fylde,Merthyr,George Wilson,left-foot,regular,miss,0.2009,0.0
14168734,26/12/2025,Fylde,Chorley,George Wilson,left-foot,corner,block,0.003644,0.0
14168734,26/12/2025,Fylde,Chorley,George Wilson,right-foot,regular,block,0.007768,0.0
14168734,26/12/2025,Fylde,Chorley,George Wilson,right-foot,regular,save,0.07679,0.3411
14168782,17/01/2026,Fylde,Scarborough,George Wilson,left-foot,corner,block,0.01038,0.0
14168782,17/01/2026,Fylde,Scarborough,George Wilson,left-foot,regular,block,0.001798,0.0
15322125,03/02/2026,Fylde,Peterborough,George Wilson,right-foot,regular,block,0.04472,0.0
15322125,03/02/2026,Fylde,Peterborough,George Wilson,left-foot,regular,save,0.2031,0.1504
14168889,28/02/2026,Fylde,Curzon Ashton,George Wilson,right-foot,throw-in-set-piece,goal,0.3342,0.3802
14168914,10/03/2026,Fylde,Telford,George Wilson,head,set-piece,save,0.1033,0.04897
14168803,24/01/2026,Fylde,Oxford,George Wilson,right-foot,regular,block,0.05348,0.0
14168762,30/12/2025,Fylde,Radcliffe,George Wilson,left-foot,regular,block,0.006145,0.0
14168529,25/08/2025,Fylde,Southport,George Wilson,right-foot,regular,miss,0.1211,0.0
