Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168513,23/08/2025,King's Lynn,Darlington,Gold Omotayo,left-foot,regular,save,0.2978,0.5664
14168513,23/08/2025,King's Lynn,Darlington,Gold Omotayo,head,regular,miss,0.3217,0.0
14168513,23/08/2025,King's Lynn,Darlington,Gold Omotayo,right-foot,regular,block,0.01444,0.0
14168581,04/10/2025,King's Lynn,Scarborough,Gold Omotayo,head,regular,miss,0.1106,0.0
14168634,25/10/2025,King's Lynn,Radcliffe,Gold Omotayo,head,corner,goal,0.2089,0.265
14168661,04/11/2025,King's Lynn,Leamington,Gold Omotayo,right-foot,corner,goal,0.42,0.8738
14168661,04/11/2025,King's Lynn,Leamington,Gold Omotayo,head,regular,miss,0.1645,0.0
14168661,04/11/2025,King's Lynn,Leamington,Gold Omotayo,head,throw-in-set-piece,miss,0.07039,0.0
14168691,25/11/2025,King's Lynn,Buxton,Gold Omotayo,head,regular,miss,0.02413,0.0
14168714,06/12/2025,King's Lynn,Chester,Gold Omotayo,right-foot,regular,block,0.4588,0.0
14168714,06/12/2025,King's Lynn,Chester,Gold Omotayo,right-foot,corner,post,0.2485,0.0
14168738,26/12/2025,King's Lynn,Peterborough,Gold Omotayo,head,regular,miss,0.3913,0.0
14168647,01/11/2025,King's Lynn,Southport,Gold Omotayo,head,regular,miss,0.2214,0.0
14168503,19/08/2025,King's Lynn,Spennymoor,Gold Omotayo,right-foot,corner,miss,0.4402,0.0
14168503,19/08/2025,King's Lynn,Spennymoor,Gold Omotayo,head,throw-in-set-piece,save,0.03516,0.05018
