Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168488,09/08/2025,Bedford,Alfreton,Greg Taylor,left-foot,set-piece,block,0.1174,0.0
14168555,06/09/2025,Bedford,Curzon Ashton,Greg Taylor,right-foot,regular,block,0.0357,0.0
14168699,29/11/2025,Bedford,Darlington,Greg Taylor,right-foot,regular,block,0.01509,0.0
14168699,29/11/2025,Bedford,Darlington,Greg Taylor,left-foot,corner,miss,0.03789,0.0
14168723,20/12/2025,Bedford,Marine,Greg Taylor,head,corner,miss,0.004477,0.0
14168723,20/12/2025,Bedford,Marine,Greg Taylor,head,corner,miss,0.003268,0.0
14168723,20/12/2025,Bedford,Marine,Greg Taylor,head,corner,miss,0.06096,0.0
14168723,20/12/2025,Bedford,Marine,Greg Taylor,left-foot,corner,block,0.002799,0.0
14168748,30/12/2025,Bedford,King's Lynn,Greg Taylor,right-foot,corner,miss,0.05367,0.0
14168748,30/12/2025,Bedford,King's Lynn,Greg Taylor,left-foot,set-piece,goal,0.4447,0.5334
14168678,22/11/2025,Bedford,Chorley,Greg Taylor,left-foot,regular,miss,0.1131,0.0
14168678,22/11/2025,Bedford,Chorley,Greg Taylor,left-foot,regular,block,0.002603,0.0
14168895,28/02/2026,Bedford,Darlington,Greg Taylor,right-foot,regular,miss,0.05102,0.0
14168532,30/08/2025,Bedford,Fylde,Greg Taylor,right-foot,throw-in-set-piece,block,0.002651,0.0
14168532,30/08/2025,Bedford,Fylde,Greg Taylor,left-foot,regular,block,0.02398,0.0
14168740,26/12/2025,Bedford,Leamington,Greg Taylor,left-foot,throw-in-set-piece,save,0.03365,0.04579
14168827,31/01/2026,Bedford,Macclesfield,Greg Taylor,left-foot,free-kick,miss,0.01563,0.0
14168861,14/02/2026,Bedford,Merthyr,Greg Taylor,right-foot,regular,block,0.01216,0.0
14168846,01/11/2025,Bedford,Oxford,Greg Taylor,right-foot,corner,block,0.1321,0.0
14168846,01/11/2025,Bedford,Oxford,Greg Taylor,left-foot,throw-in-set-piece,miss,0.005111,0.0
14168694,25/11/2025,Bedford,Peterborough,Greg Taylor,right-foot,set-piece,block,0.02161,0.0
14168912,07/03/2026,Bedford,Spennymoor,Greg Taylor,left-foot,throw-in-set-piece,block,0.009388,0.0
