Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168687,25/11/2025,Hereford,Chester,Gus Mafuta,right-foot,throw-in-set-piece,save,0.04938,0.01741
14168722,20/12/2025,Hereford,Chorley,Gus Mafuta,right-foot,regular,block,0.007865,0.0
14168632,25/10/2025,Hereford,Fylde,Gus Mafuta,right-foot,regular,block,0.006982,0.0
14168641,01/11/2025,Hereford,Curzon Ashton,Gus Mafuta,right-foot,regular,block,0.002772,0.0
14168794,17/01/2026,Hereford,King's Lynn,Gus Mafuta,right-foot,set-piece,miss,0.1123,0.0
14168794,17/01/2026,Hereford,King's Lynn,Gus Mafuta,right-foot,regular,block,0.0909,0.0
14169015,06/12/2025,Hereford,Peterborough,Gus Mafuta,right-foot,regular,goal,0.08787,0.6658
14169015,06/12/2025,Hereford,Peterborough,Gus Mafuta,right-foot,throw-in-set-piece,save,0.02516,0.02929
14168864,14/02/2026,Hereford,Southport,Gus Mafuta,right-foot,set-piece,block,0.009058,0.0
14168864,14/02/2026,Hereford,Southport,Gus Mafuta,left-foot,corner,save,0.07742,0.06294
14168864,14/02/2026,Hereford,Southport,Gus Mafuta,head,corner,miss,0.1297,0.0
14168864,14/02/2026,Hereford,Southport,Gus Mafuta,right-foot,throw-in-set-piece,save,0.05495,0.4034
14168495,09/08/2025,Hereford,Spennymoor,Gus Mafuta,right-foot,regular,miss,0.01645,0.0
14168495,09/08/2025,Hereford,Spennymoor,Gus Mafuta,right-foot,corner,miss,0.02342,0.0
14168839,10/02/2026,Hereford,Telford,Gus Mafuta,right-foot,free-kick,block,0.0009586,0.0
