Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168682,22/11/2025,Radcliffe,Peterborough,Hallam Hope,left-foot,regular,block,0.005039,0.0
14168477,16/08/2025,Radcliffe,Spennymoor,Hallam Hope,right-foot,regular,block,0.4899,0.0
14168477,16/08/2025,Radcliffe,Spennymoor,Hallam Hope,right-foot,regular,save,0.07327,0.04585
14168477,16/08/2025,Radcliffe,Spennymoor,Hallam Hope,right-foot,regular,save,0.6102,0.8206
14168477,16/08/2025,Radcliffe,Spennymoor,Hallam Hope,right-foot,regular,save,0.4123,0.6614
14168504,19/08/2025,Radcliffe,Worksop,Hallam Hope,right-foot,corner,save,0.6869,0.7039
14168504,19/08/2025,Radcliffe,Worksop,Hallam Hope,head,regular,miss,0.2977,0.0
14168562,06/09/2025,Radcliffe,Marine,Hallam Hope,right-foot,corner,block,0.02084,0.0
14168562,06/09/2025,Radcliffe,Marine,Hallam Hope,right-foot,regular,miss,0.04031,0.0
14168562,06/09/2025,Radcliffe,Marine,Hallam Hope,right-foot,regular,save,0.2549,0.3158
14168711,29/11/2025,Radcliffe,Telford,Hallam Hope,right-foot,throw-in-set-piece,save,0.09289,0.07096
14168711,29/11/2025,Radcliffe,Telford,Hallam Hope,head,regular,miss,0.09392,0.0
14168925,10/03/2026,Southport,Spennymoor,Hallam Hope,right-foot,regular,block,0.06415,0.0
15495083,17/03/2026,Southport,Alfreton,Hallam Hope,left-foot,regular,miss,0.2082,0.0
14168790,17/01/2026,Radcliffe,Spennymoor,Hallam Hope,right-foot,throw-in-set-piece,save,0.6567,0.6458
