Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168687,25/11/2025,Hereford,Chester,Harley Hamilton,right-foot,regular,miss,0.02141,0.0
14168663,08/11/2025,Hereford,Southport,Harley Hamilton,head,corner,goal,0.09378,0.5182
14168663,08/11/2025,Hereford,Southport,Harley Hamilton,head,corner,save,0.2385,0.6918
15261863,17/02/2026,Hereford,Darlington,Harley Hamilton,right-foot,regular,save,0.03934,0.01245
14168870,21/02/2026,Hereford,Scarborough,Harley Hamilton,head,set-piece,miss,0.1438,0.0
14168794,17/01/2026,Hereford,King's Lynn,Harley Hamilton,right-foot,regular,save,0.01741,0.1196
14168794,17/01/2026,Hereford,King's Lynn,Harley Hamilton,right-foot,regular,block,0.005814,0.0
14168794,17/01/2026,Hereford,King's Lynn,Harley Hamilton,right-foot,regular,miss,0.1698,0.0
14168754,30/12/2025,Hereford,Merthyr,Harley Hamilton,head,regular,save,0.3481,0.4429
14168754,30/12/2025,Hereford,Merthyr,Harley Hamilton,left-foot,regular,save,0.2608,0.1792
14168864,14/02/2026,Hereford,Southport,Harley Hamilton,right-foot,regular,save,0.0343,0.04482
14168864,14/02/2026,Hereford,Southport,Harley Hamilton,head,regular,save,0.1233,0.1386
14168864,14/02/2026,Hereford,Southport,Harley Hamilton,right-foot,regular,save,0.01869,0.01129
