Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
15659749,19/03/2026,Hereford,Alfreton,Harrison Sohna,left-foot,free-kick,save,0.0513,0.2289
14168920,10/03/2026,Hereford,Leamington,Harrison Sohna,left-foot,corner,goal,0.5239,0.6908
14168920,10/03/2026,Hereford,Leamington,Harrison Sohna,left-foot,throw-in-set-piece,block,0.002646,0.0
14168932,14/03/2026,Hereford,South Shields,Harrison Sohna,left-foot,free-kick,goal,0.0469,0.1185
14168932,14/03/2026,Hereford,South Shields,Harrison Sohna,left-foot,regular,goal,0.01963,0.2745
14168932,14/03/2026,Hereford,South Shields,Harrison Sohna,left-foot,regular,save,0.05963,0.02978
14168932,14/03/2026,Hereford,South Shields,Harrison Sohna,right-foot,throw-in-set-piece,miss,0.07147,0.0
14168932,14/03/2026,Hereford,South Shields,Harrison Sohna,left-foot,regular,save,0.01477,0.006229
15519409,17/03/2026,Hereford,Fylde,Harrison Sohna,left-foot,regular,goal,0.3217,0.6654
15519409,17/03/2026,Hereford,Fylde,Harrison Sohna,left-foot,free-kick,miss,0.001015,0.0
15519409,17/03/2026,Hereford,Fylde,Harrison Sohna,left-foot,regular,miss,0.01858,0.0
15519409,17/03/2026,Hereford,Fylde,Harrison Sohna,left-foot,free-kick,save,0.0533,0.07194
15447029,24/03/2026,Hereford,Spennymoor,Harrison Sohna,left-foot,regular,save,0.4335,0.6477
15447029,24/03/2026,Hereford,Spennymoor,Harrison Sohna,left-foot,free-kick,save,0.04162,0.0537
15447029,24/03/2026,Hereford,Spennymoor,Harrison Sohna,left-foot,regular,block,0.005704,0.0
15447029,24/03/2026,Hereford,Spennymoor,Harrison Sohna,left-foot,regular,save,0.1215,0.477
14168913,07/03/2026,Hereford,Worksop,Harrison Sohna,left-foot,regular,miss,0.03071,0.0
