Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168880,24/02/2026,Scarborough,Alfreton,Harry Green,right-foot,set-piece,block,0.05362,0.0
14168556,06/09/2025,Scarborough,Chester,Harry Green,right-foot,free-kick,block,0.0003255,0.0
14168556,06/09/2025,Scarborough,Chester,Harry Green,right-foot,regular,miss,0.002338,0.0
14168498,19/08/2025,Scarborough,Chorley,Harry Green,right-foot,regular,block,0.1721,0.0
14168870,21/02/2026,Scarborough,Hereford,Harry Green,right-foot,regular,save,0.09427,0.3451
14168870,21/02/2026,Scarborough,Hereford,Harry Green,right-foot,throw-in-set-piece,block,0.003414,0.0
14168474,09/08/2025,Scarborough,Kidderminster,Harry Green,right-foot,corner,miss,0.06004,0.0
14168581,04/10/2025,Scarborough,King's Lynn,Harry Green,head,regular,miss,0.06817,0.0
14168581,04/10/2025,Scarborough,King's Lynn,Harry Green,right-foot,regular,block,0.03632,0.0
14168581,04/10/2025,Scarborough,King's Lynn,Harry Green,right-foot,free-kick,block,0.03053,0.0
14168581,04/10/2025,Scarborough,King's Lynn,Harry Green,right-foot,regular,miss,0.1064,0.0
14168581,04/10/2025,Scarborough,King's Lynn,Harry Green,left-foot,regular,miss,0.05097,0.0
14168942,21/03/2026,Scarborough,Leamington,Harry Green,right-foot,regular,save,0.05731,0.07437
14168942,21/03/2026,Scarborough,Leamington,Harry Green,right-foot,throw-in-set-piece,miss,0.01367,0.0
14168942,21/03/2026,Scarborough,Leamington,Harry Green,right-foot,regular,block,0.14,0.0
14168708,29/11/2025,Scarborough,Macclesfield,Harry Green,left-foot,throw-in-set-piece,save,0.1199,0.2614
14168708,29/11/2025,Scarborough,Macclesfield,Harry Green,right-foot,regular,miss,0.0208,0.0
14168708,29/11/2025,Scarborough,Macclesfield,Harry Green,right-foot,free-kick,miss,0.0007509,0.0
14168834,07/02/2026,Scarborough,Marine,Harry Green,right-foot,regular,block,0.06668,0.0
14168834,07/02/2026,Scarborough,Marine,Harry Green,right-foot,regular,block,0.08919,0.0
14168525,25/08/2025,Scarborough,Merthyr,Harry Green,right-foot,regular,miss,0.03606,0.0
14168909,07/03/2026,Scarborough,Oxford,Harry Green,right-foot,regular,save,0.02483,0.08229
14168909,07/03/2026,Scarborough,Oxford,Harry Green,right-foot,regular,save,0.1627,0.1195
14168607,16/08/2025,Scarborough,Fylde,Harry Green,right-foot,corner,miss,0.1572,0.0
14168607,16/08/2025,Scarborough,Fylde,Harry Green,right-foot,regular,save,0.08741,0.2786
14168515,23/08/2025,Scarborough,Peterborough,Harry Green,right-foot,regular,miss,0.08663,0.0
14168515,23/08/2025,Scarborough,Peterborough,Harry Green,left-foot,regular,miss,0.08703,0.0
14168515,23/08/2025,Scarborough,Peterborough,Harry Green,right-foot,regular,save,0.2243,0.1273
