Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168668,08/11/2025,Marine,Leamington,Harvey Gregson,right-foot,regular,save,0.03013,0.01454
14168668,08/11/2025,Marine,Leamington,Harvey Gregson,right-foot,regular,block,0.09071,0.0
14168472,16/08/2025,Marine,Buxton,Harvey Gregson,right-foot,set-piece,block,0.008262,0.0
14168642,01/11/2025,Marine,Fylde,Harvey Gregson,right-foot,set-piece,miss,0.09121,0.0
14168642,01/11/2025,Marine,Fylde,Harvey Gregson,head,corner,miss,0.01224,0.0
14168642,01/11/2025,Marine,Fylde,Harvey Gregson,left-foot,throw-in-set-piece,save,0.04397,0.05619
14837164,11/11/2025,Marine,Telford,Harvey Gregson,right-foot,regular,miss,0.09859,0.0
14168562,06/09/2025,Marine,Radcliffe,Harvey Gregson,other,own-goal,goal,,0.0
14168637,25/10/2025,Marine,Scarborough,Harvey Gregson,head,regular,save,0.1318,0.5121
14168480,09/08/2025,Marine,South Shields,Harvey Gregson,right-foot,regular,miss,0.1798,0.0
14168480,09/08/2025,Marine,South Shields,Harvey Gregson,head,throw-in-set-piece,miss,0.02394,0.0
14168480,09/08/2025,Marine,South Shields,Harvey Gregson,right-foot,throw-in-set-piece,block,0.001082,0.0
14168480,09/08/2025,Marine,South Shields,Harvey Gregson,right-foot,regular,miss,0.03629,0.0
14168612,18/10/2025,Marine,Worksop,Harvey Gregson,right-foot,regular,block,0.09201,0.0
14168612,18/10/2025,Marine,Worksop,Harvey Gregson,right-foot,regular,block,0.005556,0.0
