Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168570,20/09/2025,Chorley,Macclesfield,Harvey Smith,right-foot,throw-in-set-piece,goal,0.1063,0.5578
14168653,04/11/2025,Chorley,Alfreton,Harvey Smith,head,corner,save,0.02176,0.02031
14168821,31/01/2026,Chorley,Peterborough,Harvey Smith,right-foot,regular,block,0.07496,0.0
14168821,31/01/2026,Chorley,Peterborough,Harvey Smith,right-foot,corner,save,0.212,0.3962
15326174,03/02/2026,Chorley,Leamington,Harvey Smith,head,corner,miss,0.06768,0.0
14168917,10/03/2026,Chorley,South Shields,Harvey Smith,head,set-piece,save,0.2014,0.181
14168917,10/03/2026,Chorley,South Shields,Harvey Smith,head,corner,save,0.09465,0.05781
14168917,10/03/2026,Chorley,South Shields,Harvey Smith,left-foot,regular,block,0.03205,0.0
14168930,14/03/2026,Chorley,Buxton,Harvey Smith,head,throw-in-set-piece,miss,0.2674,0.0
15473461,17/03/2026,Chorley,Kidderminster,Harvey Smith,head,throw-in-set-piece,goal,0.08769,0.4715
14168944,21/03/2026,Chorley,Oxford,Harvey Smith,head,regular,miss,0.225,0.0
14168944,21/03/2026,Chorley,Oxford,Harvey Smith,head,corner,save,0.08872,0.3069
14168944,21/03/2026,Chorley,Oxford,Harvey Smith,head,regular,miss,0.1688,0.0
14168674,08/11/2025,Chorley,Radcliffe,Harvey Smith,head,corner,miss,0.0651,0.0
14168588,04/10/2025,Chorley,South Shields,Harvey Smith,right-foot,regular,miss,0.02272,0.0
15452627,17/02/2026,Chorley,Telford,Harvey Smith,head,corner,block,0.1201,0.0
