Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168557,06/09/2025,Oxford,Buxton,Isaac Westendorf,right-foot,regular,block,0.2872,0.0
14168557,06/09/2025,Oxford,Buxton,Isaac Westendorf,right-foot,regular,save,0.05105,0.02454
14168557,06/09/2025,Oxford,Buxton,Isaac Westendorf,right-foot,regular,save,0.08334,0.05431
14168519,25/08/2025,Oxford,Chester,Isaac Westendorf,right-foot,regular,save,0.2214,0.4977
14168519,25/08/2025,Oxford,Chester,Isaac Westendorf,right-foot,regular,goal,0.1671,0.2936
14168680,22/11/2025,Oxford,Marine,Isaac Westendorf,right-foot,regular,block,0.03514,0.0
14168680,22/11/2025,Oxford,Marine,Isaac Westendorf,right-foot,regular,save,0.05686,0.0449
14168516,23/08/2025,Oxford,Spennymoor,Isaac Westendorf,head,regular,miss,0.169,0.0
14168516,23/08/2025,Oxford,Spennymoor,Isaac Westendorf,right-foot,regular,block,0.02528,0.0
14168516,23/08/2025,Oxford,Spennymoor,Isaac Westendorf,right-foot,regular,save,0.102,0.1026
14168535,30/08/2025,Oxford,Radcliffe,Isaac Westendorf,right-foot,throw-in-set-piece,block,0.05231,0.0
14168550,02/09/2025,Oxford,Alfreton,Isaac Westendorf,right-foot,regular,save,0.1578,0.3623
14168550,02/09/2025,Oxford,Alfreton,Isaac Westendorf,right-foot,throw-in-set-piece,save,0.08386,0.2438
14168550,02/09/2025,Oxford,Alfreton,Isaac Westendorf,left-foot,throw-in-set-piece,miss,0.08277,0.0
14168550,02/09/2025,Oxford,Alfreton,Isaac Westendorf,right-foot,regular,goal,0.1906,0.1667
14168584,04/10/2025,Oxford,Curzon Ashton,Isaac Westendorf,head,regular,miss,0.1629,0.0
14168659,04/11/2025,Oxford,Hereford,Isaac Westendorf,right-foot,regular,block,0.02864,0.0
14168659,04/11/2025,Oxford,Hereford,Isaac Westendorf,right-foot,regular,save,0.1947,0.1817
14168671,08/11/2025,Oxford,Worksop,Isaac Westendorf,left-foot,regular,goal,0.6548,0.9475
14936374,18/11/2025,Oxford,South Shields,Isaac Westendorf,right-foot,regular,save,0.05622,0.01851
14168733,20/12/2025,Oxford,Spennymoor,Isaac Westendorf,right-foot,regular,save,0.06435,0.03891
14168733,20/12/2025,Oxford,Spennymoor,Isaac Westendorf,right-foot,regular,block,0.0603,0.0
14168733,20/12/2025,Oxford,Spennymoor,Isaac Westendorf,right-foot,regular,save,0.0721,0.03321
14169001,18/04/2026,Oxford,Chester,Isaac Westendorf,right-foot,regular,block,0.08198,0.0
14169001,18/04/2026,Oxford,Chester,Isaac Westendorf,right-foot,regular,save,0.1832,0.1919
