Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168611,21/10/2025,Oxford,Bedford,Jack Bearne,left-foot,regular,save,0.08452,0.2645
14168611,21/10/2025,Oxford,Bedford,Jack Bearne,left-foot,regular,miss,0.1475,0.0
14168482,09/08/2025,Oxford,Fylde,Jack Bearne,left-foot,regular,block,0.01514,0.0
14168482,09/08/2025,Oxford,Fylde,Jack Bearne,left-foot,regular,miss,0.2103,0.0
14168482,09/08/2025,Oxford,Fylde,Jack Bearne,right-foot,regular,block,0.2261,0.0
14168482,09/08/2025,Oxford,Fylde,Jack Bearne,left-foot,regular,miss,0.0412,0.0
14168500,19/08/2025,Oxford,Kidderminster,Jack Bearne,left-foot,regular,block,0.01266,0.0
14168500,19/08/2025,Oxford,Kidderminster,Jack Bearne,left-foot,regular,goal,0.1282,0.2371
14168833,07/02/2026,Oxford,Leamington,Jack Bearne,right-foot,throw-in-set-piece,save,0.03972,0.4626
14168471,16/08/2025,Oxford,Macclesfield,Jack Bearne,left-foot,throw-in-set-piece,miss,0.00951,0.0
14168471,16/08/2025,Oxford,Macclesfield,Jack Bearne,left-foot,throw-in-set-piece,save,0.09178,0.02948
14168606,18/10/2025,Oxford,Southport,Jack Bearne,left-foot,throw-in-set-piece,save,0.04607,0.2221
14168606,18/10/2025,Oxford,Southport,Jack Bearne,left-foot,regular,save,0.05204,0.01851
14168659,04/11/2025,Oxford,Hereford,Jack Bearne,left-foot,regular,miss,0.3133,0.0
14168659,04/11/2025,Oxford,Hereford,Jack Bearne,right-foot,regular,goal,0.375,0.769
14168875,21/02/2026,Oxford,Marine,Jack Bearne,head,throw-in-set-piece,block,0.04167,0.0
14168957,28/03/2026,Oxford,Kidderminster,Jack Bearne,left-foot,corner,block,0.002565,0.0
15326170,03/02/2026,Oxford,Radcliffe,Jack Bearne,left-foot,regular,block,0.01897,0.0
14168867,14/02/2026,Oxford,Worksop,Jack Bearne,left-foot,regular,block,0.1083,0.0
14168995,11/04/2026,Oxford,Alfreton,Jack Bearne,left-foot,regular,save,0.04478,0.06929
14168971,03/04/2026,Oxford,Merthyr,Jack Bearne,right-foot,regular,goal,0.2859,0.05756
14169001,18/04/2026,Oxford,Chester,Jack Bearne,left-foot,regular,save,0.2294,0.6391
14169001,18/04/2026,Oxford,Chester,Jack Bearne,left-foot,regular,save,0.2984,0.6283
