Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168847,10/02/2026,Marine,Curzon Ashton,Jack Hazlehurst,right-foot,corner,miss,0.03615,0.0
14168847,10/02/2026,Marine,Curzon Ashton,Jack Hazlehurst,right-foot,regular,block,0.02199,0.0
14168847,10/02/2026,Marine,Curzon Ashton,Jack Hazlehurst,right-foot,set-piece,block,0.008292,0.0
14168847,10/02/2026,Marine,Curzon Ashton,Jack Hazlehurst,right-foot,regular,block,0.001884,0.0
14168859,14/02/2026,Marine,Leamington,Jack Hazlehurst,right-foot,regular,goal,0.4911,0.4522
14168921,10/03/2026,Marine,Macclesfield,Jack Hazlehurst,right-foot,regular,save,0.05711,0.02621
14168998,11/04/2026,Marine,Darlington,Jack Hazlehurst,right-foot,regular,save,0.5354,0.6023
14168998,11/04/2026,Marine,Darlington,Jack Hazlehurst,right-foot,regular,miss,0.005534,0.0
14168974,06/04/2026,Marine,Chorley,Jack Hazlehurst,right-foot,set-piece,block,0.008536,0.0
15519411,08/04/2026,Marine,Hereford,Jack Hazlehurst,left-foot,throw-in-set-piece,miss,0.06163,0.0
15519411,08/04/2026,Marine,Hereford,Jack Hazlehurst,right-foot,corner,save,0.08275,0.08484
15519411,08/04/2026,Marine,Hereford,Jack Hazlehurst,right-foot,regular,save,0.05351,0.03385
15519411,08/04/2026,Marine,Hereford,Jack Hazlehurst,right-foot,regular,save,0.05082,0.3895
