Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168470,16/08/2025,Darlington,Alfreton,Jack Maskell,right-foot,regular,save,0.2911,0.3477
14168580,04/10/2025,Darlington,Buxton,Jack Maskell,right-foot,regular,block,0.06154,0.0
14168903,07/03/2026,Darlington,Chester,Jack Maskell,right-foot,regular,miss,0.101,0.0
14168903,07/03/2026,Darlington,Chester,Jack Maskell,right-foot,regular,save,0.05148,0.02818
14168903,07/03/2026,Darlington,Chester,Jack Maskell,head,throw-in-set-piece,save,0.03605,0.1835
14168903,07/03/2026,Darlington,Chester,Jack Maskell,head,set-piece,miss,0.0687,0.0
14168881,24/02/2026,Darlington,Curzon Ashton,Jack Maskell,head,regular,miss,0.2602,0.0
14168881,24/02/2026,Darlington,Curzon Ashton,Jack Maskell,head,regular,save,0.27,0.5226
14168881,24/02/2026,Darlington,Curzon Ashton,Jack Maskell,head,corner,goal,0.1524,0.2013
14168494,09/08/2025,Darlington,Chorley,Jack Maskell,head,regular,save,0.231,0.6964
14168494,09/08/2025,Darlington,Chorley,Jack Maskell,right-foot,regular,block,0.1601,0.0
14168494,09/08/2025,Darlington,Chorley,Jack Maskell,head,regular,save,0.1414,0.5982
14168499,19/08/2025,Darlington,Fylde,Jack Maskell,right-foot,regular,save,0.03206,0.01289
14168520,25/08/2025,Darlington,Telford,Jack Maskell,left-foot,corner,miss,0.1053,0.0
14168520,25/08/2025,Darlington,Telford,Jack Maskell,head,regular,save,0.09397,0.4389
14168564,06/09/2025,Darlington,Hereford,Jack Maskell,right-foot,corner,goal,0.7546,0.8222
14168564,06/09/2025,Darlington,Hereford,Jack Maskell,right-foot,regular,miss,0.1603,0.0
14168569,20/09/2025,Darlington,Chester,Jack Maskell,head,regular,miss,0.06324,0.0
14168569,20/09/2025,Darlington,Chester,Jack Maskell,right-foot,regular,miss,0.01912,0.0
14168569,20/09/2025,Darlington,Chester,Jack Maskell,head,regular,save,0.07683,0.1782
14168630,25/10/2025,Darlington,Southport,Jack Maskell,head,regular,save,0.1231,0.2161
14168630,25/10/2025,Darlington,Southport,Jack Maskell,right-foot,regular,block,0.02925,0.0
14168630,25/10/2025,Darlington,Southport,Jack Maskell,right-foot,regular,goal,0.2083,0.6496
14168656,04/11/2025,Darlington,Worksop,Jack Maskell,left-foot,regular,goal,0.2336,0.326
14168656,04/11/2025,Darlington,Worksop,Jack Maskell,left-foot,regular,miss,0.08008,0.0
14168656,04/11/2025,Darlington,Worksop,Jack Maskell,right-foot,regular,block,0.2829,0.0
14878242,18/11/2025,Darlington,Peterborough,Jack Maskell,right-foot,regular,save,0.3159,0.6016
14878242,18/11/2025,Darlington,Peterborough,Jack Maskell,head,corner,save,0.1109,0.1155
14878242,18/11/2025,Darlington,Peterborough,Jack Maskell,right-foot,regular,miss,0.03483,0.0
14168679,22/11/2025,Darlington,Spennymoor,Jack Maskell,head,regular,save,0.1662,0.4345
14168679,22/11/2025,Darlington,Spennymoor,Jack Maskell,right-foot,regular,block,0.01474,0.0
14168823,31/01/2026,Darlington,Merthyr,Jack Maskell,right-foot,set-piece,goal,0.15,0.2526
14168823,31/01/2026,Darlington,Merthyr,Jack Maskell,head,corner,save,0.1001,0.3451
14168823,31/01/2026,Darlington,Merthyr,Jack Maskell,right-foot,corner,block,0.03344,0.0
14168823,31/01/2026,Darlington,Merthyr,Jack Maskell,head,corner,save,0.05209,0.03927
14168823,31/01/2026,Darlington,Merthyr,Jack Maskell,right-foot,corner,miss,0.2004,0.0
14168895,28/02/2026,Darlington,Bedford,Jack Maskell,head,corner,miss,0.3289,0.0
14168895,28/02/2026,Darlington,Bedford,Jack Maskell,head,regular,goal,0.6154,0.9456
14168895,28/02/2026,Darlington,Bedford,Jack Maskell,right-foot,regular,block,0.008989,0.0
14168895,28/02/2026,Darlington,Bedford,Jack Maskell,right-foot,regular,save,0.4241,0.8028
15341358,03/03/2026,Darlington,Macclesfield,Jack Maskell,head,regular,miss,0.05247,0.0
15341358,03/03/2026,Darlington,Macclesfield,Jack Maskell,right-foot,regular,goal,0.3599,0.4747
15341358,03/03/2026,Darlington,Macclesfield,Jack Maskell,right-foot,regular,block,0.1916,0.0
14168918,10/03/2026,Darlington,Buxton,Jack Maskell,right-foot,regular,block,0.03521,0.0
14168931,14/03/2026,Darlington,Leamington,Jack Maskell,head,regular,miss,0.07009,0.0
14168931,14/03/2026,Darlington,Leamington,Jack Maskell,right-foot,regular,block,0.08694,0.0
14168931,14/03/2026,Darlington,Leamington,Jack Maskell,right-foot,corner,miss,0.4976,0.0
14168931,14/03/2026,Darlington,Leamington,Jack Maskell,head,corner,miss,0.08254,0.0
14168931,14/03/2026,Darlington,Leamington,Jack Maskell,head,set-piece,save,0.06947,0.1489
15559405,24/03/2026,Darlington,Kidderminster,Jack Maskell,head,corner,block,0.07842,0.0
15559405,24/03/2026,Darlington,Kidderminster,Jack Maskell,right-foot,regular,miss,0.06268,0.0
15559405,24/03/2026,Darlington,Kidderminster,Jack Maskell,head,corner,miss,0.1332,0.0
15559405,24/03/2026,Darlington,Kidderminster,Jack Maskell,right-foot,regular,miss,0.3452,0.0
15261863,17/02/2026,Darlington,Hereford,Jack Maskell,right-foot,regular,save,0.09318,0.5203
15261863,17/02/2026,Darlington,Hereford,Jack Maskell,left-foot,regular,miss,0.09142,0.0
15261863,17/02/2026,Darlington,Hereford,Jack Maskell,right-foot,regular,block,0.0941,0.0
15261863,17/02/2026,Darlington,Hereford,Jack Maskell,head,corner,miss,0.09697,0.0
15261863,17/02/2026,Darlington,Hereford,Jack Maskell,right-foot,regular,block,0.1648,0.0
14168513,23/08/2025,Darlington,King's Lynn,Jack Maskell,right-foot,regular,save,0.02213,0.01225
14168605,18/10/2025,Darlington,Leamington,Jack Maskell,right-foot,throw-in-set-piece,goal,0.3725,0.7949
14168605,18/10/2025,Darlington,Leamington,Jack Maskell,right-foot,set-piece,miss,0.1279,0.0
14168605,18/10/2025,Darlington,Leamington,Jack Maskell,right-foot,regular,save,0.1221,0.1028
14168605,18/10/2025,Darlington,Leamington,Jack Maskell,head,regular,save,0.3056,0.6172
14168538,30/08/2025,Darlington,Macclesfield,Jack Maskell,right-foot,regular,save,0.09676,0.232
14168538,30/08/2025,Darlington,Macclesfield,Jack Maskell,right-foot,throw-in-set-piece,block,0.002822,0.0
14168538,30/08/2025,Darlington,Macclesfield,Jack Maskell,head,regular,miss,0.3009,0.0
14168538,30/08/2025,Darlington,Macclesfield,Jack Maskell,right-foot,set-piece,block,0.1588,0.0
14168538,30/08/2025,Darlington,Macclesfield,Jack Maskell,right-foot,regular,block,0.04787,0.0
14168538,30/08/2025,Darlington,Macclesfield,Jack Maskell,head,regular,goal,0.2428,0.6529
14168549,02/09/2025,Darlington,Marine,Jack Maskell,right-foot,regular,save,0.04597,0.05889
14168549,02/09/2025,Darlington,Marine,Jack Maskell,left-foot,regular,goal,0.5613,0.5544
14168549,02/09/2025,Darlington,Marine,Jack Maskell,right-foot,regular,save,0.09233,0.03493
14168549,02/09/2025,Darlington,Marine,Jack Maskell,right-foot,throw-in-set-piece,goal,0.08527,0.5126
14168640,01/11/2025,Darlington,Merthyr,Jack Maskell,head,regular,goal,0.1245,0.2184
14168640,01/11/2025,Darlington,Merthyr,Jack Maskell,left-foot,regular,block,0.01772,0.0
14168640,01/11/2025,Darlington,Merthyr,Jack Maskell,head,regular,miss,0.05778,0.0
14168840,07/02/2026,Darlington,Southport,Jack Maskell,left-foot,regular,miss,0.03587,0.0
14168877,21/02/2026,Darlington,Spennymoor,Jack Maskell,right-foot,regular,goal,0.06532,0.3062
