Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
15489563,31/03/2026,Chorley,Alfreton,Jack Moore,right-foot,free-kick,save,0.03577,0.3077
14168866,21/02/2026,Chorley,Bedford,Jack Moore,right-foot,free-kick,block,0.2507,0.0
14168493,16/08/2025,Chorley,Chester,Jack Moore,right-foot,throw-in-set-piece,miss,0.02427,0.0
14168653,04/11/2025,Chorley,Alfreton,Jack Moore,right-foot,regular,save,0.00263,0.01565
14168690,25/11/2025,Chorley,Spennymoor,Jack Moore,right-foot,free-kick,block,0.0506,0.0
14168690,25/11/2025,Chorley,Spennymoor,Jack Moore,right-foot,set-piece,block,0.05289,0.0
14168722,20/12/2025,Chorley,Hereford,Jack Moore,right-foot,regular,save,0.04797,0.03495
14168722,20/12/2025,Chorley,Hereford,Jack Moore,right-foot,regular,miss,0.002269,0.0
15326174,03/02/2026,Chorley,Leamington,Jack Moore,right-foot,regular,save,0.08452,0.07812
14168855,14/02/2026,Chorley,Radcliffe,Jack Moore,right-foot,set-piece,block,0.003715,0.0
14168855,14/02/2026,Chorley,Radcliffe,Jack Moore,right-foot,throw-in-set-piece,miss,0.04307,0.0
14168917,10/03/2026,Chorley,South Shields,Jack Moore,right-foot,free-kick,miss,0.002819,0.0
14168917,10/03/2026,Chorley,South Shields,Jack Moore,right-foot,free-kick,post,0.000523,0.0
14168930,14/03/2026,Chorley,Buxton,Jack Moore,right-foot,regular,block,0.01061,0.0
15473461,17/03/2026,Chorley,Kidderminster,Jack Moore,right-foot,free-kick,block,0.005648,0.0
14168908,07/03/2026,Chorley,Macclesfield,Jack Moore,right-foot,free-kick,post,0.03276,0.0
