Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168865,21/02/2026,Merthyr,Alfreton,Jacob Maddox,right-foot,regular,post,0.2199,0.0
14168843,10/02/2026,Merthyr,Kidderminster,Jacob Maddox,right-foot,regular,miss,0.004198,0.0
14168836,07/02/2026,Merthyr,Chorley,Jacob Maddox,right-foot,regular,block,0.00535,0.0
14168897,28/02/2026,Merthyr,Buxton,Jacob Maddox,left-foot,corner,block,0.02203,0.0
14168934,14/03/2026,Merthyr,Spennymoor,Jacob Maddox,right-foot,throw-in-set-piece,save,0.04067,0.06244
14168934,14/03/2026,Merthyr,Spennymoor,Jacob Maddox,right-foot,regular,save,0.08174,0.05646
14168934,14/03/2026,Merthyr,Spennymoor,Jacob Maddox,right-foot,regular,save,0.2002,0.1117
14168906,07/03/2026,Merthyr,Radcliffe,Jacob Maddox,left-foot,throw-in-set-piece,block,0.003513,0.0
15691191,14/04/2026,Merthyr,Marine,Jacob Maddox,right-foot,regular,goal,0.5775,0.7415
15691191,14/04/2026,Merthyr,Marine,Jacob Maddox,right-foot,regular,save,0.3016,0.2798
15691191,14/04/2026,Merthyr,Marine,Jacob Maddox,left-foot,set-piece,goal,0.7288,0.7729
