Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168498,19/08/2025,Scarborough,Chorley,Jake Hull,head,corner,post,0.31,0.0
14168515,23/08/2025,Scarborough,Peterborough,Jake Hull,head,corner,save,0.1471,0.3471
14168534,30/08/2025,Scarborough,Southport,Jake Hull,head,set-piece,miss,0.116,0.0
14168552,02/09/2025,Scarborough,Buxton,Jake Hull,right-foot,throw-in-set-piece,goal,0.0642,0.5663
14168695,25/11/2025,Scarborough,Alfreton,Jake Hull,head,set-piece,save,0.1193,0.0517
14168718,06/12/2025,Scarborough,Bedford,Jake Hull,head,throw-in-set-piece,save,0.05284,0.5048
14168718,06/12/2025,Scarborough,Bedford,Jake Hull,head,throw-in-set-piece,block,0.01235,0.0
14969967,16/12/2025,Scarborough,Radcliffe,Jake Hull,head,corner,post,0.2749,0.0
14168854,10/02/2026,Scarborough,South Shields,Jake Hull,right-foot,corner,goal,0.2546,0.6445
14168899,28/02/2026,Scarborough,Macclesfield,Jake Hull,head,set-piece,save,0.1496,0.629
