Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168558,06/09/2025,Telford,Chorley,Jamie Meddows,left-foot,regular,save,0.02748,0.1672
14168786,17/01/2026,Telford,Curzon Ashton,Jamie Meddows,right-foot,regular,goal,0.3253,0.5101
14168786,17/01/2026,Telford,Curzon Ashton,Jamie Meddows,left-foot,throw-in-set-piece,save,0.02383,0.1624
14168786,17/01/2026,Telford,Curzon Ashton,Jamie Meddows,left-foot,regular,save,0.1602,0.2535
14168786,17/01/2026,Telford,Curzon Ashton,Jamie Meddows,left-foot,regular,save,0.03095,0.05949
14168786,17/01/2026,Telford,Curzon Ashton,Jamie Meddows,left-foot,regular,miss,0.0501,0.0
14168914,10/03/2026,Telford,Fylde,Jamie Meddows,right-foot,regular,miss,0.04954,0.0
14168613,21/10/2025,Telford,Hereford,Jamie Meddows,right-foot,regular,block,0.1218,0.0
14168613,21/10/2025,Telford,Hereford,Jamie Meddows,left-foot,regular,block,0.00456,0.0
14168613,21/10/2025,Telford,Hereford,Jamie Meddows,left-foot,set-piece,save,0.1293,0.1148
14168613,21/10/2025,Telford,Hereford,Jamie Meddows,left-foot,regular,block,0.02107,0.0
14168669,08/11/2025,Telford,Macclesfield,Jamie Meddows,left-foot,regular,block,0.05334,0.0
14168669,08/11/2025,Telford,Macclesfield,Jamie Meddows,left-foot,regular,block,0.0451,0.0
14837164,11/11/2025,Telford,Marine,Jamie Meddows,left-foot,corner,block,0.04121,0.0
14168711,29/11/2025,Telford,Radcliffe,Jamie Meddows,left-foot,regular,miss,0.03727,0.0
14168876,21/02/2026,Telford,South Shields,Jamie Meddows,right-foot,regular,goal,0.3534,0.7679
15341361,03/02/2026,Telford,Spennymoor,Jamie Meddows,left-foot,regular,block,0.005614,0.0
14168530,30/08/2025,Telford,Spennymoor,Jamie Meddows,left-foot,throw-in-set-piece,goal,0.4786,0.6855
14168601,18/10/2025,Telford,Scarborough,Jamie Meddows,right-foot,regular,goal,0.1514,0.2707
14168601,18/10/2025,Telford,Scarborough,Jamie Meddows,left-foot,regular,save,0.05432,0.03429
14168601,18/10/2025,Telford,Scarborough,Jamie Meddows,left-foot,regular,miss,0.03992,0.0
14168688,25/11/2025,Telford,Oxford,Jamie Meddows,right-foot,regular,miss,0.3691,0.0
14168735,26/12/2025,Telford,Chester,Jamie Meddows,left-foot,regular,miss,0.04412,0.0
14168735,26/12/2025,Telford,Chester,Jamie Meddows,left-foot,corner,goal,0.0252,0.05917
14168735,26/12/2025,Telford,Chester,Jamie Meddows,left-foot,throw-in-set-piece,block,0.005292,0.0
14168795,24/01/2026,Telford,King's Lynn,Jamie Meddows,left-foot,regular,goal,0.4421,0.6745
14168839,10/02/2026,Telford,Hereford,Jamie Meddows,left-foot,regular,save,0.1512,0.364
14168891,28/02/2026,Telford,Radcliffe,Jamie Meddows,left-foot,regular,goal,0.1839,0.0
14168891,28/02/2026,Telford,Radcliffe,Jamie Meddows,left-foot,regular,block,0.0002124,0.0
14168901,07/03/2026,Telford,Alfreton,Jamie Meddows,left-foot,regular,block,0.01765,0.0
14168901,07/03/2026,Telford,Alfreton,Jamie Meddows,left-foot,corner,miss,0.06585,0.0
14168936,21/03/2026,Telford,Marine,Jamie Meddows,left-foot,regular,save,0.1034,0.1386
14168936,21/03/2026,Telford,Marine,Jamie Meddows,left-foot,regular,miss,0.04609,0.0
14168936,21/03/2026,Telford,Marine,Jamie Meddows,left-foot,regular,miss,0.005331,0.0
14168936,21/03/2026,Telford,Marine,Jamie Meddows,left-foot,regular,save,0.02992,0.08915
14168950,28/03/2026,Telford,Bedford,Jamie Meddows,right-foot,regular,post,0.2577,0.0
14168950,28/03/2026,Telford,Bedford,Jamie Meddows,left-foot,regular,save,0.2653,0.3339
14168842,07/02/2026,Telford,Worksop,Jamie Meddows,right-foot,regular,block,0.07712,0.0
14168842,07/02/2026,Telford,Worksop,Jamie Meddows,left-foot,regular,block,0.00202,0.0
14168965,03/04/2026,Telford,Chester,Jamie Meddows,left-foot,regular,block,0.01309,0.0
14168989,11/04/2026,Telford,Peterborough,Jamie Meddows,left-foot,regular,miss,0.02603,0.0
14168989,11/04/2026,Telford,Peterborough,Jamie Meddows,left-foot,regular,block,0.009513,0.0
