Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168796,24/01/2026,Bedford,Alfreton,Jevani Brown,left-foot,regular,block,0.001505,0.0
14168831,07/02/2026,Bedford,Chester,Jevani Brown,left-foot,regular,block,0.3142,0.0
14168928,14/03/2026,Bedford,Radcliffe,Jevani Brown,left-foot,regular,save,0.2645,0.5563
14168827,31/01/2026,Bedford,Macclesfield,Jevani Brown,left-foot,regular,goal,0.6477,0.9134
14168950,28/03/2026,Bedford,Telford,Jevani Brown,left-foot,regular,goal,0.04521,0.2912
14168963,03/04/2026,Bedford,Leamington,Jevani Brown,left-foot,set-piece,block,0.5865,0.0
14168963,03/04/2026,Bedford,Leamington,Jevani Brown,left-foot,regular,save,0.2908,0.4322
14168963,03/04/2026,Bedford,Leamington,Jevani Brown,left-foot,throw-in-set-piece,miss,0.2307,0.0
14168963,03/04/2026,Bedford,Leamington,Jevani Brown,left-foot,regular,miss,0.4483,0.0
14168996,11/04/2026,Bedford,Hereford,Jevani Brown,left-foot,regular,block,0.005583,0.0
